.	clusterCut_r
ICAM5	2
RIPK4	2
LTK	2
ISL2	2
NXPH4	2
ZIC2	2
ZIC5	2
DLX1	2
DLX2	2
SHANK1	2
CLEC11A	2
KCNS1	2
MAPK15	2
NOG	2
CDH15	2
ELMOD1	2
IL11	2
F12	2
ZMAT4	2
SLC10A4	2
TBX4	2
C3orf72	2
FOXL2	2
CYP39A1	2
ENPP5	2
PCDHB5	2
PCDHA10	2
PCDHA4	2
PCDHAC2	2
PCDHAC1	2
PCDHA13	2
PCDHA12	2
PCDHA11	2
PCDHA6	2
PCDHA7	2
PCDHA1	2
PCDHA5	2
PCDHA2	2
PCDHA3	2
ADAMTSL5	2
PAPPA	2
TFF3	2
STAB2	2
CCL21	2
GPR97	2
TCF21	2
CCL11	2
CYP1B1	2
SLC22A16	2
WIT1	2
WT1	2
SCG2	2
SPON2	2
HTR2B	2
SFRP4	2
GDF5	2
ADCY8	2
SLC35F4	2
SYT1	2
PTPRR	2
C11orf87	2
TRIM58	2
NETO1	2
MYH15	2
ZNF804A	2
IL13RA2	2
TFPI2	2
HGF	2
ANGPT1	2
SLC14A1	2
TNFRSF11B	2
PCDHGA12	2
TMEFF2	2
BDNF	2
C10orf90	2
F2RL2	2
FGF1	2
RGS4	2
HSD17B2	2
ESM1	2
PTGS2	2
FOSB	2
C5orf23	2
NPR3	2
F3	2
PRKG2	2
TP63	2
CLDN1	2
FGFBP2	2
KLK1	2
C14orf73	2
ATP1A3	2
TNNT1	2
C19orf51	2
MMP12	2
C5orf46	2
SPINK1	2
ANXA8	2
PVRL4	2
KRT15	2
KRT13	2
KRT75	2
KRT14	2
KRT16	2
KRT5	2
KRT6A	2
SERPINB5	2
SFN	2
KRT19	2
AP1M2	2
SLC34A2	2
EPCAM	2
MAL2	2
C19orf21	2
AGR2	2
CEACAM6	2
FXYD3	2
ELF3	2
PIGR	2
LCN2	2
TACSTD2	2
KRT7	2
KRT80	2
SYT12	2
KRT17	2
DSP	2
KRT18	2
KRT8	2
KLK4	2
KLK2	2
KLK3	2
RUFY4	2
TM7SF4	2
INHBE	2
WNT16	2
HHIPL2	2
LY6K	2
LOC100216001	2
SFTA1P	2
CD177	2
IL26	2
KRT34	2
PSG4	2
PSG5	2
PSG1	2
PTPRQ	2
ROS1	2
CYP19A1	2
FOLR3	2
IL1F5	2
SBSN	2
C14orf34	2
CNGA3	2
FAM9C	2
LOC339535	2
HORMAD1	2
PAX3	2
FAM133A	2
CTAG1B	2
CTAG2	2
ZNF560	2
GPR158	2
MKRN3	2
XAGE2	2
MUC15	2
NLRP11	2
MAGEC1	2
MAGEC2	2
SSX1	2
SSX2	2
MAGEB2	2
CSAG3	2
MAGEA3	2
MAGEA6	2
MAGEA2	2
MAGEA12	2
CSAG1	2
LOC100133469	2
GAGE4	2
GAGE2D	2
GAGE12D	2
GAGE2B	2
XAGE1D	2
PAGE5	2
PAGE2B	2
PAGE2	2
CPA4	2
SLC7A4	2
P2RX6	2
HOMER2	2
RYR1	2
RASGRF1	2
PVALB	2
WNT10A	2
JSRP1	2
SHD	2
MYH13	2
DUSP27	2
MYL4	2
IP6K3	2
SRPK3	2
MYOZ2	2
ACTN2	2
RRAD	2
ANKRD2	2
XIRP1	2
SAA2	2
SAA1	2
DMBT1	2
ITGB6	2
MYOM3	2
BEST3	2
ARPP21	2
C6orf142	2
SLN	2
TNNI2	2
MB	2
TNNC2	2
C10orf71	2
ATP1B4	2
TNNT2	2
ATP2A1	2
MYOZ1	2
TRIM55	2
MYO18B	2
SMPX	2
SMYD1	2
SYNPO2L	2
TRIM54	2
ANKRD1	2
MYPN	2
KBTBD10	2
MYF5	2
CAV3	2
MYF6	2
MYOD1	2
RAPSN	2
LMOD3	2
NEB	2
LMOD2	2
NRAP	2
XIRP2	2
CSRP3	2
MYH6	2
MYH8	2
MYH1	2
MYH2	2
MYBPC1	2
MYBPH	2
TNNC1	2
CKM	2
MYL2	2
TNNI1	2
MYH7	2
MYL1	2
MYOG	2
MYLPF	2
MYBPC2	2
COX6A2	2
GPD1	2
ADIPOQ	2
ACE2	2
PCK1	2
ALDOB	2
APOB	2
HP	2
FGA	2
ALB	2
ANGPTL5	2
CYP4B1	2
GPAT2	2
SPESP1	2
DDX43	2
NLGN4Y	2
RPS4Y1	2
PRKY	2
KDM5D	2
EIF1AY	2
CYorf15A	2
ZFY	2
TTTY15	2
DDX3Y	2
USP9Y	2
UTY	2
NCRNA00185	2
CYorf15B	2
TMSB4Y	2
C4orf7	2
LRRTM4	2
CST1	2
ANGPTL7	2
LGI1	2
BIRC7	2
LOC100271831	2
PAX8	2
LOC654433	2
DNALI1	2
MT1F	2
MT1G	2
MT1A	2
MT1M	2
MT1E	2
CPB1	2
AGTR1	2
PXDNL	2
CLCA2	2
LGALS12	2
ANGPTL4	2
ELOVL3	2
FFAR3	2
FMO1	2
C2orf88	2
IGF1	2
SRPX	2
AKR1C1	2
AKR1C2	2
G0S2	2
HSD11B1	2
GDF15	2
TIMP4	2
HAR1A	2
B3GNT3	2
COL17A1	2
MLC1	2
CD22	2
NLRP2	2
GATA3	2
LAD1	2
F5	2
SPHK1	2
OLR1	2
CLEC5A	2
RGS1	2
ALOX15B	2
HAMP	2
S100B	2
SDS	2
APOC1	2
APOE	2
APOC2	2
TREM2	2
ZP1	2
SLAMF9	2
SPP1	2
CLDN14	2
SLC1A3	2
HTR7	2
KCNJ15	2
SLC12A8	2
SLC38A5	2
C6orf105	2
NNMT	2
PLAU	2
KCNN4	2
S100A3	2
S100A4	2
ERMN	2
AIM2	2
TNFRSF9	2
RUNX2	2
VDR	2
FOSL1	2
SERPINE1	2
MME	2
ANPEP	2
PLAUR	2
ARL4C	2
MMP3	2
MMP1	2
MMP10	2
SIGLEC12	2
EREG	2
AREG	2
CCL18	2
TREM1	2
AQP9	2
CXCL5	2
CXCL1	2
CXCL6	2
CCL20	2
CXCL3	2
IL8	2
IL1B	2
CXCL2	2
IL6	2
CHIT1	2
DHRS9	2
CCL17	2
FCER1A	2
CD1C	2
IRF4	2
TIMD4	2
CD5L	2
IDO1	2
OASL	2
IFI44L	2
LOC400759	2
KCNJ10	2
IL7R	2
SIGLEC8	2
CR2	2
BLK	2
CD19	2
POU2AF1	2
ADAM6	2
IGJ	2
CD79A	2
MGC29506	2
LOC96610	2
FCRL5	2
MS4A1	2
KIAA0125	2
JAKMIP1	2
LAG3	2
CXCR2P1	2
LOC400696	2
HLA-DRB6	2
HLA-DQB2	2
HLA-DQA2	2
CD7	2
LGALS2	2
CCL19	2
CLEC4E	2
KLRB1	2
FCN1	2
CLEC10A	2
CLEC12A	2
CXCL13	2
SCML4	2
ADAMDEC1	2
IL21R	2
LYZ	2
HLA-DRB5	2
HLA-DQB1	2
HLA-DQA1	2
CCR7	2
NAPSB	2
ANKRD22	2
ZNF683	2
CTLA4	2
CD38	2
CXCL9	2
CXCL11	2
CXCL10	2
PDCD1	2
RHOH	2
LTB	2
CD52	2
BATF	2
CST7	2
CCR5	2
GBP5	2
CTSW	2
SH2D1A	2
KLRK1	2
ITK	2
CD8A	2
CD8B	2
GZMA	2
GZMK	2
CD96	2
GZMH	2
CCL5	2
NKG7	2
SLAMF7	2
PYHIN1	2
ICOS	2
TRAT1	2
THEMIS	2
CD3G	2
CD27	2
SIT1	2
IL2RG	2
SLAMF6	2
CXCR6	2
TIGIT	2
SIRPG	2
UBASH3A	2
CXCR3	2
CD5	2
LCK	2
CD3E	2
CD3D	2
CD2	2
FCRL3	2
UBD	2
PLA2G2D	2
C5orf20	2
C2orf89	2
ALPL	2
WNT2	2
CPZ	2
TSKS	2
IL20RB	2
LIPC	2
IL1RL1	2
SERPINB2	2
PTX3	2
DKK1	2
FCGBP	2
NXF3	2
CCL26	2
ECM1	2
SLC2A5	2
TNFRSF8	2
RARRES1	2
PLA2G2A	2
C3	2
GSDMA	2
KLHDC7B	2
FCER2	2
LYVE1	2
C4BPB	2
MARCO	2
CCL13	2
CLEC4GP1	2
CLEC4G	2
CETP	2
METTL7B	2
EMR1	2
BCL2A1	2
IL1RN	2
CSTA	2
RNASE2	2
S100A9	2
S100A8	2
FCGR2B	2
TNFSF12-TNFSF13	2
CCL8	2
VNN2	2
C2	2
SIGLEC11	2
PLTP	2
LILRB5	2
CD163L1	2
FOLR2	2
RNASE1	2
MRC1	2
CD209	2
CR1	2
F13A1	2
KYNU	2
SERPINA1	2
FCGR3A	2
FCGR1A	2
FPR1	2
FPR2	2
IL2RA	2
APBB1IP	2
SIGLEC1	2
VSIG4	2
CD163	2
CYBB	2
CD14	2
C1QA	2
C1QC	2
C1QB	2
NCF1	2
LILRB4	2
DPP4	2
PTPRH	2
IGFBP6	2
FBLN2	2
GPR1	2
LSP1	2
C13orf33	2
TFPI	2
FAM20A	2
GFPT2	2
PTGES	2
HAS1	2
HTRA3	2
C6orf132	2
TNFSF9	2
CD70	2
TWIST2	2
BDKRB1	2
SLC1A7	2
PODN	2
STEAP4	2
EFEMP1	2
AOX1	2
CFB	2
TMEM176A	2
VGLL3	2
GALNTL2	2
WISP2	2
CADM3	2
PLA2G5	2
MGST1	2
ERAP2	2
MOXD1	2
ALPK2	2
AFP	2
SLITRK4	2
EFNA5	2
EYA4	2
RSPO2	2
GABRB2	2
LHX9	2
SEMA3D	2
KCNK2	2
AEBP1	2
NTNG1	2
PTGFR	2
PRR16	2
MYO5B	2
DMRT2	2
DMRT3	2
CRYM	2
ADRA2A	2
XG	2
HOXD13	2
PITX2	2
CYP26B1	2
PCOLCE2	2
BAMBI	2
MSX2	2
FRAS1	2
SOX9	2
TUBB2B	2
NKX3-2	2
LOC285548	2
AFF2	2
IRX6	2
PPEF1	2
NTRK1	2
INSRR	2
FHAD1	2
C9orf110	2
C9orf109	2
GLYATL2	2
NKX6-1	2
SERPINE2	2
MMP17	2
ITGBL1	2
FGF14	2
OMD	2
DPT	2
PDGFRL	2
CH25H	2
GALNT5	2
THBS2	2
FAP	2
CTHRC1	2
TNN	2
ADAMTS12	2
COL24A1	2
TDO2	2
EGFL6	2
LIPG	2
HAS2	2
CRABP2	2
SIX1	2
SIX2	2
MEOX2	2
TMEM195	2
LOC100192378	2
ZFHX4	2
PLAGL1	2
FAM38B	2
ADAMTS16	2
ITM2A	2
CFH	2
APOL4	2
EPHA3	2
ODZ3	2
MGC45800	2
PCDH9	2
SLIT2	2
LAMA2	2
NAV3	2
ULBP2	2
ULBP1	2
EN1	2
TBX15	2
LPPR4	2
COL5A3	2
FNDC1	2
POSTN	2
ADAM12	2
ADAMTS14	2
PYCR1	2
COL1A1	2
PDPN	2
CD248	2
MXRA5	2
PDGFRA	2
MXRA8	2
MMP2	2
CREB3L1	2
ADAMTS2	2
TMEM119	2
SRPX2	2
TNFAIP6	2
DCN	2
LUM	2
RCN3	2
PCOLCE	2
SERPINF1	2
ASAM	2
IGDCC4	2
HMCN1	2
FOXF2	2
FOXQ1	2
CSMD2	2
KCNA1	2
MCTP2	2
WWC1	2
LOC84856	2
LYPD1	2
TGFBI	2
TNFRSF10D	2
SEMA3A	2
COL13A1	2
PLAG1	2
RPSAP52	2
IGF2BP2	2
HMGA2	2
MGAT5B	2
ELFN1	2
HS3ST3B1	2
HS3ST3A1	2
WNT5A	2
BTBD11	2
LIF	2
F2RL1	2
SYT7	2
SERINC2	2
APCDD1L	2
WNT5B	2
VEPH1	2
PKP3	2
TMEM171	2
FAM167A	2
SEMA7A	2
GPR39	2
KIAA1199	2
WISP1	2
SALL4	2
HECW1	2
AK5	2
MMP9	2
TM4SF19	2
SIGLEC15	2
ACP5	2
ATP6V0D2	2
LOC283867	2
PAEP	2
RFX8	2
WNT7B	2
TNFSF11	2
PODNL1	2
CPN2	2
LRRC15	2
IBSP	2
COL10A1	2
MMP13	2
SERPINB4	2
XDH	2
SERPINB7	2
FGF5	2
ABCA13	2
TRPM8	2
BNC1	2
CHRNA1	2
MEGF10	2
RNF128	2
MMP7	2
GJB2	2
COL11A1	2
HAPLN1	2
MATN3	2
NALCN	2
CNIH3	2
FAM176A	2
C11orf41	2
MGC4473	2
P4HA3	2
PPAPDC1A	2
VSNL1	2
ODZ2	2
KIF26B	2
LOC554202	2
PTPRN	2
IL31RA	2
GSTT1	2
RPS28	2
UPK3BL	2
INE2	2
CCDC36	2
TCAM1P	2
PIWIL2	2
CECR7	2
MAB21L1	2
NTM	2
FOXL1	2
FOXC2	2
HOXC10	2
HOXC9	2
HOXC8	2
FOXD1	2
SHOX2	2
ZIC1	2
ZIC4	2
PKP1	2
CRIP1	2
TMEM30B	2
LOC647946	2
TMEM189-UBE2V1	2
AMH	2
