rowname,logFC,AveExpr,t,P.Value,adj.P.Val,B
DDX4,0.21950514607343916,0.46459015151515154,2.448055099792963,0.015016505314194403,0.026546874545803074,-4.543004589551671
DDX5,0.029201527740552305,13.343132575757576,0.48555723653359745,0.6276851059364188,0.6980701638610334,-7.390342473753853
DDX6,-0.22928359689091346,11.204767424242425,-3.4303445829725874,6.997133298725855e-4,0.0016039654602818425,-1.7479265173925551
INADL,-2.1546341597426912,7.315431439393939,-12.000202499672833,9.394181064195672e-27,3.500227536260202e-25,49.92646189273219
TLR6,0.6201377512731192,4.4389875,3.562272962946027,4.3630844521372743e-4,0.0010372177374059547,-1.306835207161809
DDX1,0.20466247654784217,10.941661363636364,3.4408377880987353,6.742631530341019e-4,0.0015515156390708486,-1.7133991988585757
LOC286467,1.402008643795229,3.0365155303030305,6.448604897561195,5.374278054770879e-10,3.0785136290303055e-9,11.807924241112254
PTX4,-0.8098645671401773,0.9578037878787878,-7.206196174700943,6.075414781661731e-12,4.5289856742017186e-11,16.2017831783581
MYO15B,-0.29958848834092694,8.68264356060606,-1.547215380206535,0.12301296126758965,0.17436205325747667,-6.315760218911896
MYO15A,-1.4554613910479761,4.35233446969697,-6.832310633072861,5.783103038876006e-11,3.798051995781331e-10,13.99079226222775
HSN2,0.1743237067810232,3.3032435606060604,0.8794861562195523,0.3799400738608365,0.4612755598085732,-7.121768114616913
MYADML,0.02139344679710506,0.09908143939393939,0.4456159330283765,0.6562410502344891,0.724101298576484,-7.4089388312047335
POM121L10P,-0.03068753685339001,2.111401515151515,-0.1810752738850605,0.8564478639677899,0.9002008098455276,-7.491864524232544
NUP205,0.05486289198606412,10.082780681818182,0.6078890649866091,0.5437852618778587,0.6208036159902375,-7.3234817921666515
ZNF215,1.2452112302331806,4.136338636363637,5.050636244026154,8.238327443779016e-7,3.0370418822191274e-6,4.673815345086288
HLA-J,-0.039922004824443885,3.381006060606061,-0.26364268424933573,0.7922615762038058,0.8460405804662747,-7.4734930855409205
ZNF217,0.7645313320825513,9.779674242424242,6.40212409611937,6.998685842210544e-10,3.935442901686729e-9,11.549669539912042
HLA-H,0.36244756097561137,11.102771590909091,2.2702257493791373,0.024002723131027536,0.04066478840402668,-4.954148250084283
ZNF211,-0.3712348432055748,7.576936363636364,-4.303626336208494,2.371744858965664e-5,6.941115032724886e-5,1.4475856707778405
SLC7A8,0.7457884079335302,9.806548106060607,3.823032130380619,1.6460812397991103e-4,4.211096305679219e-4,-0.39079840422920586
HLA-L,0.24040994371482183,5.3712310606060605,1.669605682704718,0.09618639445647988,0.14012962519099714,-6.120667296030374
F8A1,0.12349135620477104,7.780204924242424,1.373184386998592,0.17086381854671828,0.23253789822765172,-6.5680364476124264
HLA-B,0.5179687885285436,14.805372348484848,2.980343729930876,0.0031485776415417378,0.006396229861552729,-3.136899467092902
HLA-A,0.21890755829536257,14.446003787878787,1.4219527223847803,0.15622400297061628,0.21523605517606223,-6.500326299153087
NFKBIA,0.11849618064862077,11.0973125,1.0021597176774146,0.31718699612816087,0.3954244006868559,-7.006647094146712
FMN1,-1.7050015679442478,4.362898106060606,-7.243095288009924,4.8438234327096955e-12,3.66545134808441e-11,16.424301686579643
HLA-F,-0.29477755293486857,10.330266287878787,-1.671522391334096,0.09580710332281649,0.13962659410927966,-6.117496349066
HLA-E,0.7279037791476821,12.893807575757576,5.714477423811755,2.973362066924524e-8,1.3469356406434352e-7,7.893230818682364
FMN2,-0.5167304476011769,3.3404325757575757,-1.567889541950159,0.1181084641064455,0.1682230309494468,-6.283827340839182
NFKBIZ,-1.2172797105333668,8.007581818181817,-6.94589383139656,2.9407626211152765e-11,2.0117912899532364e-10,14.653926186620033
TDRD12,0.12767827660144684,1.2443291666666667,0.6176277732237915,0.5373547814886788,0.6151041909095386,-7.317517840921402
PSTPIP2,0.9059899490753157,6.866302272727273,5.736630533026125,2.6476398305931608e-8,1.209255744651337e-7,8.006073404659212
ARID4A,-0.4938987804878049,8.680057954545454,-5.345835762132534,1.9528945323134984e-7,7.86752840431635e-7,6.0661004182206355
ARID4B,-0.33866187349236004,9.522954166666667,-4.1298006692320355,4.8799526998772846e-5,1.3586307150594066e-4,0.7605773028945659
PSTPIP1,1.112276695255962,6.659560227272728,4.495331016987567,1.0419144738344422e-5,3.227293926949472e-5,2.233672917680284
MMS19,0.4344435138032705,9.93239053030303,6.383461446898142,7.778721522068025e-10,4.3537936981476705e-9,11.446360267644266
PLAC1,1.4887683060841599,3.0468405303030304,4.533801401198302,8.804139345818734e-6,2.7650142384833807e-5,2.3949648421296974
FAM75A2,0.005415679442508607,0.342825,0.04615313679716237,0.9632231959198424,0.9866765897731944,-7.507205445093731
FAM75A3,-0.008220450281425984,0.14503409090909092,-0.1341091347272656,0.8934187756286005,0.9312966470502752,-7.499271519266889
CRYZ,-0.6829359823103722,9.06021856060606,-6.175509804331672,2.488689628319138e-9,1.2997404749272936e-8,10.310272528580875
FAM75A6,-0.021567140176896205,0.042193939393939395,-0.643996383266398,0.5201386207415725,0.5985340442701913,-7.300895456231396
HAUS6,-0.1948529348700064,8.597715909090908,-2.209420236605893,0.02800677372924492,0.046695429943546134,-5.087898428549478
DKFZP586I1420,-0.14331649691771572,7.3942875,-1.3281146598708171,0.18529087708909361,0.2496077235327488,-6.628540205299973
HAUS4,-0.14749851246314544,9.741133712121211,-1.9876925687036917,0.047881951342908825,0.0754483430094342,-5.54588918130011
HAUS5,-0.4770627177700337,8.8687,-4.7818008299516706,2.8948878676207986e-6,9.776615877982398e-6,3.4627087804710026
HAUS2,-0.33935253283301875,9.18717803030303,-4.837500797865309,2.24090522784838e-6,7.715207836278256e-6,3.709103194912167
HAUS3,0.015612382739212925,8.486504545454546,0.24038479901101267,0.8102191055347083,0.8614531170245773,-7.479357890808422
HAUS1,-0.28548042079871394,8.730526893939395,-3.457598026872077,6.354011003726463e-4,0.0014695037276839505,-1.658050760181779
PRSS33,0.24356982042347938,0.25104848484848485,2.369649279911464,0.018526737253527638,0.03214620654284334,-4.727940322517263
SLC5A10,-0.7001265880461003,1.0730113636363636,-4.4650519169320715,1.1886718042790038e-5,3.647202532035263e-5,2.1075525791579572
SLC5A11,0.1342318145269346,1.255094696969697,0.9891190147434692,0.3235134294586679,0.40172577674000565,-7.019592923126167
