gene	siADNP1	siADNP2	siADNP3	SCR1	SCR2	SCR3
C10orf103	1	2	2	1	2	0
C10orf105	0	0	0	0	0	0
C10orf107	3	1	0	0	2	1
C10orf108	0	0	0	0	0	0
C10orf11	2	12	5	1	6	5
C10orf111	1	1	0	2	2	3
C10orf113	1	1	0	1	0	1
C10orf114	6	8	12	14	14	12
C10orf116	2240	2176	2014	2922	3750	2555
C10orf118	506	516	403	517	600	459
C10orf12	466	541	398	516	611	528
C10orf120	0	0	0	0	1	0
C10orf122	4	1	1	0	0	1
C10orf125	25	33	25	31	29	23
C10orf128	0	1	0	0	1	0
C10orf129	1	0	0	1	0	0
C10orf131	0	3	8	6	7	3
C10orf136	0	0	0	0	0	0
C10orf137	726	906	650	908	946	847
C10orf140	12	5	12	6	11	8
C10orf2	770	826	632	939	959	866
C10orf25	4	11	2	8	10	6
C10orf26	273	285	291	445	572	453
C10orf27	0	0	1	0	0	0
C10orf28	212	257	197	280	344	255
C10orf32	52	65	41	67	75	61
C10orf32-AS3MT	0	0	0	0	0	0
C10orf35	61	82	60	57	59	48
C10orf40	0	0	1	0	0	0
C10orf46	1394	1756	1333	1462	1681	1412
C10orf47	116	114	115	132	161	114
C10orf53	0	0	0	0	0	0
C10orf54	84	81	78	57	96	60
C10orf55	1	1	2	5	5	3
C10orf58	47	78	67	50	47	40
C10orf62	0	0	0	1	0	2
C10orf67	1	0	0	0	0	0
C10orf68	3	8	3	6	8	7
C10orf71	0	0	0	0	0	0
C10orf76	587	656	573	636	664	533
C10orf81	2	1	0	0	0	2
C10orf82	0	2	0	0	0	0
C10orf88	119	129	136	124	128	129
C10orf90	0	0	0	0	0	0
C10orf91	13	9	6	6	7	8
C10orf95	8	5	2	5	8	2
C10orf96	0	0	0	0	0	0
C10orf99	0	0	0	1	0	0
C11orf1	234	192	231	268	362	270
C11orf10	179	215	246	228	321	260
C11orf16	0	0	0	0	0	0
C11orf2	589	593	512	582	673	483
C11orf20	1	8	5	3	8	4
