	8Mod_A_001	8Mod_AA_089	8Mod_AB_091	8Mod_AC_105	8Mod_AD_096	8Mod_AE_098	8Mod_AF_104	8Mod_AG_107	8Mod_AG_107r	8Mod_AH_132	8Mod_AI_113	8Mod_AJ_115	8Mod_AK_117	8Mod_AL_127	8Mod_AL_127r	8Mod_AM_129	8Mod_AN_131	8Mod_AO_138	8Mod_AP_146	8Mod_AQ_150	8Mod_AR_119	8Mod_AS_153	8Mod_AT_159	8Mod_AU_163	8Mod_AV_167	8Mod_AW_169	8Mod_AX_171	8Mod_AY_173	8Mod_AZ_179	8Mod_B_003	8Mod_BA_181	8Mod_BB_183	8Mod_BC_185	8Mod_BD_191	8Mod_BE_193	8Mod_BF_199	8Mod_BG_203	8Mod_BH_207	8Mod_BI_211	8Mod_BJ_215	8Mod_BK_217	8Mod_BL_238	8Mod_BM_221	8Mod_BN_223	8Mod_BO_225	8Mod_BP_227	8Mod_BQ_233	8Mod_BR_240	8Mod_BS_242	8Mod_BT_244	8Mod_BU_248	8Mod_BV_250	8Mod_BW_252	8Mod_BX_254	8Mod_BY_256	8Mod_C_005	8Mod_D_007	8Mod_E_009	8Mod_F_011	8Mod_G_019	8Mod_H_021	8Mod_I_023	8Mod_J_025	8Mod_K_027	8Mod_L_029	8Mod_M_035	8Mod_N_041	8Mod_O_047	8Mod_O_047r	8Mod_P_049	8Mod_Q_063	8Mod_R_055	8Mod_S_057	8Mod_T_059	8Mod_U_060	8Mod_V_065	8Mod_W_069	8Mod_X_086	8Mod_X_087	8Mod_Y_078	8Mod_Z_080
SLC12A1	0.796023845	0.59063849	-0.649764577	-1.005143479	2.286623618	-0.520931946	-1.382928056	-0.351644623	-1.311354372	-0.18360206	-1.50304737	-0.116385034	-0.542715241	0	0.057258947	-0.146259268	-0.698310207	-0.541470481	0.286917117	-0.476120596	0.085888421	-1.355543343	-0.886268925	-1.381060917	-1.224843571	-1.379193777	-1.292682976	0.054769428	-0.361602701	0.946639772	-1.259696844	-1.238535928	-1.2765011	0.178623021	-0.154972586	0.087133181	-0.824030939	-1.32317959	0.294385675	-0.006846178	-0.201028696	-0.31928087	-0.309945172	2.572295975	0.533379543	0.356623662	-0.461805859	0.627358902	-0.028629474	-0.209119634	-0.149371167	1.487487874	0.830877118	0.04605611	0.802247644	0.806604303	0.965311168	0.890003205	1.341850986	1.476285036	0.95535309	1.708432725	1.659887096	1.506159269	1.996594602	0.644785538	-0.098336018	1.889545265	1.893901924	-0.733163479	0.057881327	0.192315378	-0.382141236	0.588148971	-0.004979039	1.163227965	0.669680733	1.245382107	0.801625264	-0.336707506	2.159658126
SLC13A3	-0.718874689	0.217665702	-0.448815119	-1.863064306	1.441216619	0.312822212	0.887228514	0.000770498	-0.007319732	-0.145238884	0.001926245	-0.715022198	0.221903441	-0.700382735	-0.489266267	0.69845649	-0.894162997	-2.13928786	0.629882163	1.159984827	-2.173960272	0.010401724	-0.407593473	0.044688887	0.577488295	-2.726022131	0.410675465	-0.30164999	-2.692120217	0.22999367	-0.064336588	0.151788118	0.200714744	-0.150247121	-0.024655938	-0.28970727	-0.518930442	-0.664169327	0.562463583	0.325150181	-0.441110139	-3.676431487	-0.030049424	1.443142864	0.279305546	0.088607277	-1.259379077	0.465380827	-0.493118758	-0.506217225	0.266977577	0.387945773	0.789375261	-0.564389828	0.703849977	-1.435052634	0.8533266	0.172976814	0.172976814	-1.050574103	-0.004237739	0.181067044	-0.903408974	-0.752776603	0.698841739	0	-0.587119521	-2.179353759	-2.167796288	-1.597242475	-0.578644042	0.096312257	0.594824501	-0.108640226	0.175288308	1.69471048	0.529717415	1.47242179	0.676497295	-0.890310507	0.706931969
SLC22A1	-0.082320105	0.5490751	-0.601348367	0.233789098	1.04299573	0.534257481	-0.97220044	0.50997305	0.442058964	0.655268036	0.875885917	0.692312083	0.370852073	-1.11337942	-1.245503189	-1.936992071	-2.584028096	-3.074655922	0.689019279	0.14076738	0.895642742	0.440412562	0.264247537	0.014817619	0.418186133	0.754875363	-0.725240125	-1.196934327	-1.711846584	-0.774220588	0.270421545	0.675848062	1.117083825	-0.407072919	0.836783867	1.090329791	0.036632447	-0.412423726	0.943800004	0	0.063798081	0.546605497	1.091564592	-0.330926822	0.475398606	0.639215615	-2.162549158	-0.35274165	-1.331527698	0.610403579	-0.024696032	-1.687973753	0.443705366	-1.583015619	0.049803664	-0.487746622	-0.689430879	-0.082731706	-0.367559269	-1.429077023	0.337924031	0.190571043	0.790273008	-0.993603667	0.800151421	0.604641171	-1.033117318	-1.639816492	-1.58383882	-1.275961628	-0.428476147	0.212385871	-2.030013789	-1.096915399	-2.464663944	-1.48135029	-0.511619453	-1.249207593	-0.014406018	-1.288309643	0.345744441
SLC27A2	-0.002944237	0.409248995	-0.700728494	-0.183278776	0.513033362	0.315033399	-1.045940326	0.69410396	0.075814112	0.618289848	0.605776839	0.66098129	-0.395263867	0.702200613	0.195791785	-0.199472082	-6.280794371	-1.589152121	0.24657988	-0.211985091	-0.24584382	0.577070525	0.128074326	-0.510825184	0.058884747	0.175918183	0.529226667	-0.819234048	-0.338587298	0.144267631	-0.733851165	-0.278966491	0.666133705	-0.715449681	0	0.326074289	0.119241614	-0.468869801	0.451204377	0.511561243	-0.206832675	-0.243635642	0.269397719	-0.276758313	0.05594051	-0.355516663	-2.392928923	-0.087591062	-0.450468318	-0.285591025	0.371709968	-1.127642913	0.036802967	0.863397609	-0.416609588	-0.524074252	-0.276758313	0.164141233	0.272341957	-2.835300588	0.592527771	0.203888438	0.378334502	0.068453519	0.554252685	0.757405064	-0.912713585	-0.374654205	-0.520393955	-2.861062665	-1.574430934	0.037539026	0.621234085	0.128810385	-0.759613242	-0.635955272	-0.0669814	-0.863397609	0.112617079	-0.956141086	0.349628188
SLC39A5	-0.414461984	-0.799684208	-0.937992911	-0.115566667	-1.710757976	0.134131594	0.596398263	0.033416868	0.216281394	0.348092372	0.548129455	0.095609371	-0.440452881	0.712893177	1.041956499	-0.01902905	-2.856678063	-3.210804036	0.64141821	-0.639097594	0.320244982	0.771836819	-0.108140697	1.12874753	0.453912453	0.375011515	-2.182771232	-0.630743377	0.29935944	-0.444629989	0.55184244	0.415854353	-0.826139229	-0.2083913	0.62238916	0.790865868	0.068690228	-0.42560094	0.891580595	-1.798477253	0.565766135	0.492434675	0.756520754	0.038986346	0.009746586	-0.849345387	-1.509792647	-0.866982067	-2.184627724	0.527243912	0.612642574	-2.331754767	0.34345114	-0.555091302	1.108790234	-0.096073495	-0.132275101	-0.410284875	-0.723103887	-1.40165195	0.556483671	-0.105355958	0.068690228	-1.890837763	0.593149401	0.390327579	-1.91682866	-1.985983011	-1.931216478	-1.777591711	-0.530492774	-0.485472828	-2.404622103	0.488257567	0.160586614	0.097465864	0	-0.966768547	0.278473897	-0.305857164	0.280794513
SLFN13	-0.791568751	-0.277563068	1.058209198	1.190565661	-1.647388211	-0.032767862	0.185042046	-0.002570028	0	1.019016265	0.580826421	-1.588920065	-0.195322159	-0.172191904	0.268567969	-0.262142898	1.372395171	1.94037145	0.618091833	-0.72731804	-1.637750605	0.82497912	1.200203268	1.161010335	0.236442614	0.881519745	-0.413132067	0.318683523	-1.624257956	0.394499361	-0.065535724	0.664352344	-0.265355433	-1.61654787	1.177715519	1.040218999	-1.500896592	0.019275213	0.380364205	0.943200427	1.486118929	-1.65445579	0.677202486	-1.6011277	1.18414059	-1.548442118	0.934847834	-0.98239336	0.742738211	0.878307209	0.055898118	-1.518886791	0.491517934	-0.488947905	-1.105754724	0.061680682	-0.584038956	-0.801848864	-0.508223118	-1.184783097	0.774863566	-0.659212287	-0.791568751	-1.659595846	-1.563219781	-0.228090021	-0.702260263	-0.55448363	0.153559198	0.714467898	0.5788989	1.351192437	-1.618475392	-1.189280647	1.484833914	-0.932277806	0.451039986	-1.611407814	0.632869496	1.343482352	-0.82947667
SMOC2	-0.15319274	0.428833655	0.002650393	0.414521531	-0.698113627	0.775505115	-0.633974106	-0.464879006	-0.478130973	0.533259156	-0.006891023	1.460366774	0.5396201	-0.726207797	-0.670549535	1.416370244	1.483160158	0.346671459	0.132519671	0.556582618	-0.447916488	0.698113627	0.736279292	-0.848125894	0.251257296	-0.884701324	-1.376084264	0.583086552	-1.466727719	0.911205258	0.042936373	0.389077754	-1.569562983	0.433604363	-0.143651323	-0.754301967	-1.490051181	-1.202748534	0.070500465	0.840174714	1.384035444	-0.860847783	-0.345611302	-1.237733727	0.907494707	-1.505423462	0.446326252	-0.100184871	-0.33447965	-0.319637446	0	-2.07419789	-0.386427361	0.142591166	0.160083763	0.182877146	0.462758691	1.223951681	0.662068276	-0.290483119	-0.050887554	-0.041346137	-0.440495386	-0.746880866	-0.655707332	0.246486588	2.209367955	-1.594476681	-1.649604864	1.267418133	1.408419063	0.82957314	1.351700644	0.373175394	-2.080558835	-0.976935015	1.282790415	-3.473075537	-0.500394278	1.397287411	-0.71295583
SYT15	-0.999223875	0.034005001	-0.717592713	-0.699282328	-1.443032734	0.862331948	1.66101351	1.496220044	1.187559265	0.896336949	0.153458466	0.849253102	0.535360785	0.715848867	0.789962331	2.805848543	1.681067741	-0.054931155	0.796937716	-0.193566929	-0.045340001	0.610346172	-0.292966162	0	0.667021173	-1.250337729	-0.032261155	-0.115965773	-2.116157369	-0.134276158	0.208389621	1.311372346	0.597267325	1.464830812	0.43857732	0.812632331	0.881514256	-0.788218485	0.865819641	-0.263320777	0.84314964	-0.508331169	0.583316555	-0.782986946	0.625168864	0.269424239	-0.692306943	0.141251543	-1.104726571	1.848476977	1.937413133	-1.218948497	0.143867312	0.234547315	3.733574724	-0.852740794	-0.885001949	-0.269424239	-0.029645385	-1.381998117	-0.798681562	-1.432569657	-0.888489641	-1.172736573	-1.251209652	-0.496124245	0.167409236	-0.207517698	-0.822223486	-0.056675002	-0.361848087	0.110734234	-0.321739625	-0.272911931	0.946908489	-0.690563097	0.635631942	-0.630400403	0.962603105	-0.134276158	0.027029616
TAT	0.140786824	0.660427079	-0.719088256	-0.20726949	-2.64219716	0.148119471	-0.400851373	-0.132965333	0	0.545060099	0.000977686	0.226823216	-0.098746314	-0.120255412	-0.305526961	-1.409334766	-4.46655975	-3.764092161	0.563147295	0.186249235	0.011732235	1.154158648	-0.737175452	-0.115366981	-0.146164098	0.715177511	-0.232689334	0.574390687	-0.006354961	0.03421902	0.031285961	0.082125647	0.224379	0.596877471	0.305038118	0.52501753	0.390585667	-0.264464138	0.511329922	0.023464471	0.124655	0.179894275	-0.037152078	-0.993329256	0.308948863	0.590033667	-1.407379394	0.284995549	-2.608955826	0.241977353	-1.280769021	-0.286950922	-0.072837628	0.732775863	-0.429204275	0.330946804	-0.001466529	0.304549275	0.18233849	-1.66548857	0.257620334	0.97524206	1.497326531	-1.04221357	0.687313452	0.773349844	-0.665804354	-0.042529353	0.052795059	-1.691397257	-0.581723334	-0.096790941	-0.438492295	0.455601804	-2.76685216	-0.638429138	-0.152519059	-0.094346726	0.537238608	-0.889205668	-0.558258863
TBX3	-0.961920427	0.083925943	-0.910273693	-1.958272011	0.65060539	0.253929777	1.80978765	0	-0.043756261	-0.192240622	0.77900491	-0.09970689	-0.111901258	0.105445416	0.038017735	-0.610435707	-0.454060873	-1.722275128	0.785460752	0.337855721	0.164265308	-0.69794823	-0.693644335	-0.28047046	0.185067465	-0.390937086	-0.293382144	-1.033652003	-1.042259792	-0.3278133	-0.513598081	0.013628999	0.587481603	-4.049247437	0.475580346	-0.059537208	0.242452725	-0.946856797	0.62191276	-0.225237147	-0.50857687	0.499251765	0.335703773	2.046501849	1.072387054	0.392371718	-2.01422264	0.576004551	0.070296944	-0.21806399	-0.04734284	1.749533126	1.169224681	0.002151947	-0.025106051	-0.783308804	0.369417614	-1.157030313	-0.515750028	0.489926661	0.593937445	1.446825878	0.206586937	-0.885167642	1.350705567	0.473428398	-1.469062666	0.565244815	0.657061232	-0.609001076	-2.031438218	-0.65060539	-0.889471536	0.500686397	0.092533732	2.425244568	-0.090381785	1.740925337	-0.060971839	-0.555202394	1.585985134
