	8Mod_A_001	8Mod_AA_089	8Mod_AB_091	8Mod_AC_105	8Mod_AD_096	8Mod_AE_098	8Mod_AF_104	8Mod_AG_107	8Mod_AG_107r	8Mod_AH_132	8Mod_AI_113	8Mod_AJ_115	8Mod_AK_117	8Mod_AL_127	8Mod_AL_127r	8Mod_AM_129	8Mod_AN_131	8Mod_AO_138	8Mod_AP_146	8Mod_AQ_150	8Mod_AR_119	8Mod_AS_153	8Mod_AT_159	8Mod_AU_163	8Mod_AV_167	8Mod_AW_169	8Mod_AX_171	8Mod_AY_173	8Mod_AZ_179	8Mod_B_003	8Mod_BA_181	8Mod_BB_183	8Mod_BC_185	8Mod_BD_191	8Mod_BE_193	8Mod_BF_199	8Mod_BG_203	8Mod_BH_207	8Mod_BI_211	8Mod_BJ_215	8Mod_BK_217	8Mod_BL_238	8Mod_BM_221	8Mod_BN_223	8Mod_BO_225	8Mod_BP_227	8Mod_BQ_233	8Mod_BR_240	8Mod_BS_242	8Mod_BT_244	8Mod_BU_248	8Mod_BV_250	8Mod_BW_252	8Mod_BX_254	8Mod_BY_256	8Mod_C_005	8Mod_D_007	8Mod_E_009	8Mod_F_011	8Mod_G_019	8Mod_H_021	8Mod_I_023	8Mod_J_025	8Mod_K_027	8Mod_L_029	8Mod_M_035	8Mod_N_041	8Mod_O_047	8Mod_O_047r	8Mod_P_049	8Mod_Q_063	8Mod_R_055	8Mod_S_057	8Mod_T_059	8Mod_U_060	8Mod_V_065	8Mod_W_069	8Mod_X_086	8Mod_X_087	8Mod_Y_078	8Mod_Z_080
ACMSD	0.630767585	0.859344496	-0.987591848	-0.711903664	-1.671577721	0.484199183	-0.641236756	0.289647079	0.177103485	0.458026254	0.105564146	-0.079391217	0.812233224	-0.15442028	-0.532182886	-0.81746781	-5.091507087	0.438832773	-0.103819284	0	0.312330284	0.628150292	-0.548759074	-0.175358623	0.214618016	0.876793116	-0.304478405	-0.484199183	-0.012214033	0.0366421	0.447557083	-0.200659121	1.169057487	0.763377091	0.778208417	0.34548266	1.056513893	-0.697944769	0.770356538	0.907328199	0.122140334	-0.066304753	0.66304753	-2.281406962	0.596742777	0.882900132	-0.838406153	-0.016576188	-0.69009289	0.831426706	-1.003295605	1.05302417	-0.269581167	0.553121229	-0.143951109	-0.340248075	-0.171868899	0.798274329	-0.060197736	-0.777335986	0.707541509	0.623788137	1.362737161	-0.287029786	0.69009289	0.752907919	-0.973632952	0.957929195	0.60808438	-2.694066807	-0.528693162	-0.205021276	0.787805158	-0.488561338	-0.014831326	-0.355951832	-0.999805881	-1.837339603	1.35314042	-2.174970385	0.017448619
AFP	0.541211596	0.057514896	-0.416893685	0.442257397	-1.469666342	0.040010362	2.964696395	0.239704938	0.092523963	-0.436898866	0.080735195	-0.735190406	-0.210054402	0.275428476	0.311509249	1.380714733	-1.462521634	-1.519679294	0.11824491	0	-0.430825865	0.033937361	0.465477696	-0.006430237	-0.227558935	-0.577649605	0.160041449	0.837359724	0.723758874	0.715185225	0.010359826	-0.499057822	-0.604442258	-1.451804573	0.125389617	0.062516191	0.816640072	-0.27507124	0.233989172	0.192907104	-0.406891095	0.051084659	-0.275785711	0.112171908	0.381527383	-0.650525622	-0.165042744	-0.248278587	0.112171908	0.425467334	1.549687066	-0.307936895	0.090737786	-0.730189111	2.427057152	-1.045627949	1.343919489	-0.645881562	-0.346875551	3.815273828	0.16075592	-0.523349828	-0.342231491	-0.828071604	-1.228175227	0.167186157	-1.417152741	-0.6816051	-1.455019691	-1.14601109	-0.002500648	-0.408677271	0.028936066	-0.042153775	2.186994979	-0.871297085	-0.634092794	0.106456142	-0.326155899	3.402666967	-0.716256931
AGXT2L1	0.355555976	-0.110344958	-1.63278554	-0.598101657	-0.285191075	-0.000533067	-0.415259528	0.123138576	0.275595862	0.592237915	-0.015458955	-1.064002591	-0.159920229	-0.231351265	-0.617292085	-1.511779233	-5.338670317	-2.543264711	0.195635747	-0.253740097	0.067699564	1.407298017	0.457904923	-0.44404517	0.083691587	-0.207896298	0.372081067	-0.224954456	-0.166850106	0.103415082	-0.021855765	-0.292654019	1.356123543	0.093819868	1.145561908	1.156223257	0.624221961	-0.638081714	1.024555601	0.077827845	0.350758369	0.103948149	1.020824129	-0.65354067	0.696719132	0.040513125	-0.919541318	0.700450604	-0.162585566	0.485091362	-0.073030238	-0.194569612	0.696719132	0.84437881	0	-1.19300491	-0.030917911	-0.262802243	0.050641406	-1.93770011	0.276128929	0.556522397	0.683925513	-0.141262869	0.304381503	0.95632297	-1.424889242	0.347559965	0.266000648	-2.440915764	-1.006431309	0.51441007	0.592770983	0.001066135	-1.843347175	-0.126870048	-0.289455615	0.067166496	0.944062419	-1.84228104	-0.304381503
ALDH3A1	-0.839099428	0.556600381	0.060127621	-0.685253336	2.411823015	-0.074907595	2.130331694	-0.75814548	-0.557944015	0.084313033	0	-0.614712551	0.822639912	-0.601948028	-0.055424902	0.000671817	-0.693651048	-0.219684158	0.19684238	2.634866258	-0.611017558	-0.655693388	1.032582723	-0.001343634	1.418205678	-0.606650747	1.948605197	-0.490426407	0.962713755	-0.825998997	-0.461538276	-0.015451791	-0.361773452	0.061807164	0.428619243	1.618743052	-0.855894853	0.592878499	0.141753386	-0.041652654	-0.142089295	-0.575747166	-0.54114859	2.186092505	1.750419183	-0.066509883	0.609673924	1.215988763	0.344978027	-0.63956978	-0.075579412	2.785017357	2.827005919	0.977493729	-0.076251229	-0.829022173	1.293583626	0.630836159	1.240845992	-0.842458513	-0.84077897	-0.668122002	-0.405105649	1.182397913	0.40040293	-0.491098224	0.4427274	0.296607204	0.647967493	-0.752435035	-0.13637885	0.156197452	-0.103795726	1.336915822	-0.035942209	2.877728102	0.770910003	2.035269589	0.0671817	-0.500167753	-0.088008026
ALDOB	0.505196261	-0.159825726	-0.805252222	0.566432171	0.575005198	0.718297229	-0.549286116	0.779533139	0.352106485	0.549898475	0.796066835	0.140230235	0.036741546	-0.192893118	-0.67665681	-0.625831004	-5.426114019	-3.617817585	0.252291951	-0.135331362	1.127965469	0.680943323	0.190443681	-0.181258295	0.142679671	0.371701976	-0.371701976	-0.217999841	-0.199016709	-0.563982735	0.36190423	0.230859382	0.667471423	-0.433550245	0.897718446	0.64910065	0.755038775	-0.178808858	0.760550007	0.180033577	-0.162275163	0.739117438	0.852403873	-1.132251983	0.252291951	0.545611961	-1.996290678	-0.81994884	-0.267600928	0.755038775	0.249230155	-1.237577749	0.046539292	0.322713248	-0.047151651	-0.619095054	-0.886083623	-0.011022464	0	-1.102858746	0.55357263	0.243106564	0.640527623	-0.02755616	0.575005198	0.63562875	-0.751976979	-0.186769527	-0.250454873	-1.627650498	-0.853016232	-0.262089696	0.371701976	-0.184932449	-2.141419786	-1.890964913	-0.206365018	-0.639302904	0.829134227	-0.822398276	0.570718685
ANKFN1	0.199832754	-0.3344382	-0.303603472	-0.079458721	-0.063448382	-0.08894633	4.114657213	0.207541436	-0.001778927	0.499878373	-0.107921547	-0.106735596	0.162475296	-0.16188232	-0.116223204	-0.211099289	-0.049809945	-0.211692265	0.453033306	-0.33977498	-0.333845224	-0.250235674	-0.364679952	-0.238969139	0.145871981	-0.24549187	0.014231413	-0.604835042	-0.343332833	-0.024904972	0.465485792	-0.086574428	0.133419495	1.226866375	0.227702604	1.28319905	0.219400947	-0.091318232	-0.118002131	-0.221179873	0	-0.312498105	-0.344518784	-0.185601341	4.74676913	0.296487766	0.098433938	-0.401444435	0.201018705	0.385434095	-0.227109629	2.976144193	1.421955324	0.138163299	0.080051697	0.639820598	0.202204656	0.358750197	-0.219993922	-0.488018862	-0.393735753	0.289372059	0.965957141	1.026440645	2.036870951	0.528934174	-0.148243883	-0.203983583	0.07827277	0.043880189	0.377132438	-0.788064481	-0.331473322	0.120374033	0.231853433	2.125224305	-0.001185951	4.090938192	0.712756589	-0.438801893	0.196274901
ANXA10	0.674671516	-0.26169077	-2.239558955	-0.282135361	-1.541522191	-0.067175086	-1.345838245	0.116826237	0.464968422	0.266363819	0.541489606	-0.679928697	-0.158883682	-0.779230998	-0.728995716	-2.620412486	-3.623949858	-4.025247981	0.525133933	0.623267972	0.50352108	0.546162656	-0.907739858	0.648385613	0.589972495	0.422910976	1.054940916	-0.261106639	-0.002336525	-1.001784979	0.778646867	0.390783761	0.647801482	0.67642391	0.002336525	0.030374822	0.397209204	-0.254097065	1.158916267	-0.040305052	-0.224306374	0.588804232	0.52338154	-0.620931447	0.448028617	0.969073632	-1.511731501	0.07418466	-1.821905159	0.838228247	-0.328281725	0.054908331	0.103975351	0.189258503	-0.418822058	-0.003504787	-0.259938376	-0.065422692	-0.566023116	-1.487782123	0.688106533	0.312510183	0.766964243	-0.725490929	0.387863105	0.367418514	-1.525166518	-1.248872469	-1.20973568	-1.722018727	0.08411489	-0.157131288	0.848742609	-0.466720815	-1.69865348	-0.481324095	-0.588220101	0.330034118	0.477235176	0	0.382021794
APOF	-0.376717507	0.719269704	-0.364579831	-1.323456255	-2.262103218	0.533158668	-0.852784142	0.26478116	0.065183817	0.708930202	0.388855184	0.810527047	0.226569957	0.255340745	-0.084064647	-2.826729935	-3.995543204	-4.622656477	0.547993605	0.247248961	0.286359251	0.038660747	-0.138459418	0.302992363	0.272872944	0.273322487	0.40234149	-0.279166554	-0.392001988	-0.508433772	-0.038660747	0.345249458	0.000449544	-0.067881078	0.274221575	0.395148793	0.346598088	-0.028321245	0.762425886	-0.360983483	-0.056642489	1.00383078	0.553388128	-1.158024223	0.405488295	0.365029375	-2.02024878	-0.327717259	-0.890995345	0.699040243	0	-1.693430608	-0.004495436	-0.045853444	-0.265230703	-1.06811551	-0.116881327	0.105193194	0.105193194	-0.755682732	0.801536176	0.121826306	0.756132276	0.204092778	-0.441901324	0.876609951	-1.366612437	0.550241323	0.451341739	-1.009225303	-0.803783894	0.102945476	-0.073275601	0.214881824	0.314230952	-1.496530527	-0.415378254	-0.90672937	-0.050798423	-0.898188042	-1.831440483
AQP6	-0.212227151	0.027219514	0.513343028	-0.248803373	2.249862979	0.562253092	3.194039882	0.961614404	1.053480265	0.453375035	0.304518316	-0.33343905	0.082083848	-0.331737831	-0.326634172	0.174800318	0.447846071	-0.273471058	1.558742499	1.095585451	-0.314725634	0.633279012	0.85911592	-0.304093011	0.661774442	-0.306644841	0.522274431	-0.305368926	-0.241147885	-0.105900923	-0.172248489	0.227963432	-0.271344533	1.631894944	-0.269643314	0.991385748	-0.197341479	-0.2858049	-0.234343006	-0.291333864	-0.186708856	-0.296862828	0.9093019	3.001376757	2.572669407	-0.306219536	-0.271344533	0.661349137	0.778733292	-0.294736303	1.137265332	3.881757923	2.351510853	-0.306219536	1.446887307	-0.416798813	0.861242445	-0.253481727	-0.322806427	-0.247102153	0	-0.117384155	-0.308771365	-0.308771365	1.410311085	0.208399406	-0.3117485	0.767250059	1.024984836	-0.268792704	-0.3117485	-0.303667706	-0.324082342	-0.314300329	0.965016843	2.506321841	-0.318553378	2.973731938	0.544815591	-0.322381123	1.961931554
ARID3A	1.34545719	1.132854413	1.531356237	1.331078258	-0.860681775	-0.257793706	2.299602022	1.295130929	1.453299179	-0.674782728	-0.545372342	0.426232621	-0.219792243	0.859654709	2.122946574	1.542653969	-0.169465982	-0.373852227	0.584400871	-0.482721282	-0.537155809	-0.093463057	0.447801019	-0.203359178	0.017460131	0.209521578	0.643970731	1.337240658	0.496073147	1.887748332	0.088327724	-0.056488661	-0.257793706	-0.238279441	-0.336877831	-0.09859839	-1.188316007	-0.090381857	-0.196169712	1.240696401	0.12838332	1.251994133	-0.579265538	-0.975713229	-0.179736648	0.318390633	-0.02978493	-0.072921726	0.870952441	0.300930501	2.047970715	-0.954144832	-0.681972194	-0.291686902	1.69465982	0.412880756	0.19103438	0.295795169	0	4.04253397	-0.601861003	-0.046217995	-0.179736648	-0.201305045	-0.37282516	1.009606426	0.315309433	0.056488661	0.394393558	-0.168438915	-0.608023402	-0.332769565	1.104096549	0.460125818	2.942545687	-0.957226031	-0.08935479	-0.980848562	-0.544345275	3.051414742	-0.051353328
AXIN2	-1.095758782	0.233186105	-0.312534155	-1.284142927	1.504914032	0.185145449	2.547234331	-0.632085485	-0.92626703	0.031307394	0.250998933	0.183526101	-0.207276538	-0.583505046	-1.120049001	0.495520474	0.560294392	0.654756356	0.614272657	0.148440229	-1.263091404	-0.119831749	0.009716088	-0.283385892	0	-3.190655251	0.604556569	-0.284465457	-1.861170581	-0.647199399	-0.429127208	0.030767611	0.057756744	-0.236424801	-0.110655444	0.178128275	-0.133866098	-0.398899379	0.375148943	-0.446940035	0.372989812	-1.818527752	-0.378387639	2.323224531	1.055275083	-0.422110033	-0.317931982	0.121451097	-0.676887445	-0.385944596	0.630466137	1.871426452	1.781282749	0.098780225	0.754076364	-1.671706871	1.305734233	-0.065853483	-0.463133515	0.222390452	-0.223470018	1.165930527	-0.869050068	-0.888482244	1.537300991	-0.049660004	0.054518048	0.601857656	0.71467223	0.117132835	-0.086365224	-0.523589172	-0.811293325	0.281226761	-0.225089366	2.831160006	0.406996119	2.056571901	-0.010795653	-0.133866098	2.013929072
BBOX1	-0.599528313	-0.049993497	-1.736388304	-1.04356504	0.051961745	0.648340861	0.402703522	0.815248283	0.868390977	0.427109796	1.172288453	-0.336964042	-0.208240629	-1.493112862	-1.56121424	0.144075747	-1.088441093	-1.679702764	0.261776972	0.698728007	0.904606738	-0.120456772	0.154704286	0.838079959	0.818791129	0.691248665	0.571972842	-0.574728389	-0.233040552	0.729039025	0.721559683	-0.773915077	0.744391358	-0.60149656	0	0.310983169	-0.233434202	-0.286970545	0.960898628	0.274373758	-0.499147669	-3.09369206	1.369900543	-0.821940326	0.373967102	0.477890592	-1.750166039	-1.287627781	-1.055768177	0.876657618	0.318068862	-2.69886153	0.453090668	-1.162053564	0.816429232	0.825089523	0.095263199	0.334602144	0.448366873	-2.130431535	0.259415074	-0.001180949	0.951057389	-0.784149966	-0.00984124	0.771946829	-1.370294193	-2.080831687	-1.889517991	-1.255348515	-0.152342388	0.022438026	0.349560828	-0.045269702	-0.849495797	0.049206198	-0.659363049	-1.414382946	0.75226435	-1.795042091	-2.143028321
BICC1	-0.21846762	-0.532482545	0.774191401	-1.323717519	0.450879982	0.144612136	-0.470505915	-0.210720541	-0.241708856	0.578965017	0.444165847	0.347069127	0.272697171	-0.072306068	-0.538680208	0.575866185	1.359870553	0.975615448	-0.041834225	0.788652615	-1.775113973	0.673995849	0.042867169	1.009186122	-0.186446361	-1.586601724	0.620799242	0.478252993	-3.550744417	0.070756652	-0.098129664	0.435385825	-1.337145789	-0.050097776	-0.274246587	0	-1.608293544	0.990593133	-0.029438899	0.087283754	0.788652615	-2.151621999	-0.322794947	-1.540119251	0.139963889	-1.154831202	1.574206398	-0.455528229	0.823772705	-0.540746095	0.552624949	-1.698159657	-1.016933201	-0.918803537	-0.260301845	0.638875759	0.295421936	0.230346474	1.080975719	1.446637835	0.089866113	-1.480208509	-0.69568767	0.354299734	-0.703434749	-0.008780023	0.459660005	-1.966725053	-2.039031121	0.618733354	1.363485856	0.584646208	0.717895962	-0.710665355	0.544877871	-1.133139382	0.725126569	-1.99822984	-0.405946925	1.591766443	-1.340761092
C1QTNF3	-0.683504322	0.49274448	-0.436821399	0.300120534	1.558389855	-0.58470688	2.005774503	-0.242333351	-0.155963259	-0.147885481	-0.296392329	-0.198837621	0.116195735	-0.001242735	-0.687853895	0.415073534	-0.368470967	-0.481559864	0.815234246	0.338023956	0.204429929	0.689717998	-0.590920555	0	-0.219964118	0.567929955	1.237142824	0.842574419	0.631930815	-0.839467582	-2.202748021	0.261595745	0.278994037	-1.090500078	0.133594027	0.278994037	0.073321373	-0.064000859	-0.041010259	0.205051297	-0.248547026	0.259110275	-0.347344469	2.202748021	1.866588168	0.146021378	-0.215614545	-0.024233335	-0.435578664	-0.350451307	-0.013048719	3.219305359	1.895171076	0.311926518	0.982382122	-0.73507783	1.808800984	-0.816476982	-0.413209431	0.106875221	-0.049709405	-0.0229906	-2.654482242	0.956906051	1.076829992	-1.234657353	0.308198313	-0.159691464	-0.195109416	-0.374063275	-1.917540308	-0.003728205	0.154099156	0.52070602	-0.277751302	2.711648058	0.289557286	2.935961749	-0.561094912	0.487773539	1.277531715
C2orf82	-0.86885755	1.089219972	0.732705054	-1.570082258	0.194391137	-0.175502929	2.035991379	-0.566646228	0.089718986	-1.11991331	-0.506833571	0.299063287	-0.045646502	1.184448019	1.245834694	0.315590469	-2.24533568	-0.900337896	0.977464744	0.453316983	1.418976597	0.767333434	0.942049355	0.38484723	0.242398664	2.231956533	-0.325821581	0.452529974	0.448594931	-1.29462923	0.472992199	1.013667142	-0.107820185	0.287258157	1.083710912	0.49581545	0.690206586	-0.532804856	1.019176202	0.403735438	-0.059025649	-0.834229169	0.520212718	-0.342348763	-0.20383524	0.387208256	-0.288832175	2.000575989	-0.15189267	-0.34392278	0.801961815	1.028620306	0.081061891	-0.110181211	2.01789018	-1.129357413	-1.416615571	-0.341561754	-1.986409834	-2.207559264	-0.499750493	-0.672105387	-0.790156685	-0.778351555	0.263647898	-0.49581545	-0.908994991	-0.430493732	0.151105661	-2.0470095	-1.845535285	-1.054591592	0	0.714603855	0.072404796	-1.760538351	-1.006584064	-1.168707846	0.650069145	-0.257351829	1.158476733
C3orf52	0.320368562	0.049609311	1.918625158	0.83020883	-1.225887912	0.21875913	-0.873243413	-1.213933862	-1.167910766	0.873841116	-0.286299517	0.469794198	0.723220075	-0.159586579	-0.899542325	0.309609916	1.76621101	2.132602668	0.134483072	-1.219910887	-0.512828781	0.083678356	1.355589364	-0.058574849	-1.060324308	-0.279127087	-1.210945349	0.817657077	-1.198393595	0.450667716	-1.173290089	0.454851634	-1.231267235	1.210945349	0.225931561	0	-1.223497102	2.023223103	-1.190623462	-0.297655866	0.731587911	0.458437849	-0.25163277	-1.196002785	0.350253689	-1.194209678	1.775176548	-1.208554539	1.54984269	0.207402782	-0.114758888	-1.198393595	-1.19719819	-1.219910887	0.347265177	0.625794561	0.370575576	0.557656471	-0.281517897	1.91683205	-0.012551753	-0.891772192	0.181701573	-0.377150304	-0.50565635	-0.332322613	-0.515219591	-1.22529021	-1.226485615	1.157749823	1.76621101	0.565426604	-1.217520077	0.436322855	0.595311731	-0.943772313	0.253425878	-0.607863485	0.827220317	2.519316212	-0.435725153
C6orf141	-0.404973666	1.352809027	1.607728073	-1.123961248	-2.728792514	1.128016778	-0.057356785	-0.133253138	-0.618178686	0.869042202	0.348196242	0.346458158	0.531853828	-2.677229343	-2.631459787	-0.195824176	1.652338906	1.531831721	0.39860069	-0.634980169	0.542282334	0.79314585	0.249704793	0.183657585	-0.365577086	0.581099552	0.727678004	0.190030561	0.512734899	-0.112975486	-2.659269138	0.322124976	-2.707356139	0.563139347	0.308799662	0.473917681	-0.327918591	0.634400807	0.275196697	-0.325021783	0.947256	-0.448425776	0.735209703	-1.420594319	-0.245649262	-0.716090774	-0.538806165	-1.371348594	-0.192927369	0.605432734	-0.45769556	-0.509838092	-0.3789024	-0.754328631	0.032444242	0.521425321	-0.794304572	-0.113554848	0.311117108	0.269403083	1.260690554	-1.012723846	0	0.56429807	-1.071239354	0.767074583	0.297791794	-1.512133431	-1.649442099	-0.440894077	0.272879251	0.223054165	-0.462909813	0.064888484	1.91421029	-0.203355875	-0.337188374	-0.468703428	-1.554426818	-0.804153717	0.688281424
CA9	0.583505638	-0.619787993	0.565577886	1.76972522	-1.539652404	-0.183972882	-0.154520147	-0.076833222	-0.51862425	0.87803299	1.09914193	0.725647099	0.124640561	-0.938219014	-1.521724652	-0.571553804	0.738452636	1.73515027	0.809736793	-1.16146221	-0.854556172	0.583078787	0.098602635	0.186107138	-0.333370814	-0.759368347	-0.562589928	0.86053209	-1.321104572	-0.285563476	0.214706171	0.381178153	-1.281834258	-1.52428576	-0.130616478	0.663326819	-1.430805339	3.624393836	0.228792262	-0.042685123	1.403060009	-1.534103338	0.758087793	0.571553804	0.148971081	-1.457696967	-0.358128186	-1.128594665	0.074272115	1.029138327	0.154093296	-0.256110741	0	-1.505077454	0.219828386	2.113767315	-0.146409974	-0.350871715	-0.685949935	0.417033657	0.564297333	0.396117946	0.063173983	1.336044365	-0.329102302	0.153239593	-0.402520715	-0.260806105	-0.251842229	0.291112542	0.569419547	0.765344264	-1.514895033	-1.024016113	2.683613714	-0.808456239	0.053783256	-0.819981222	-0.349591161	1.222928788	-1.518309843
CCDC80	-0.056592157	0.751052499	0.267167624	-0.04737948	-1.671881469	1.415681317	-0.771232648	-0.733504544	-0.737452834	0.170215169	0.041676395	0.78220012	0.856778932	-0.013160967	0.139067548	0.979614621	1.412610425	0.76640696	0.091688068	1.403836447	0	0.505381121	0.975666331	-0.925654657	0.457124243	-0.199607995	-1.776730504	1.009446145	-1.900443591	1.277491167	-0.125029184	0.571624653	-1.026555402	0.199169296	0.560657181	-0.089933272	-0.729994953	-0.286470375	0.155299407	1.441564552	0.868185103	-0.840985772	-0.318495394	-1.16562295	0.751491198	-1.51745946	0.148280225	0.278573795	-0.89319094	-0.132048366	-0.348765617	-1.939487792	-0.615055843	0.952853989	-0.065366135	-0.060101748	0.447472868	1.677145856	1.355579569	-0.160125095	-0.095197659	-0.382545432	-0.633919896	-1.241956557	-0.544864021	-0.282960784	2.234732145	-0.740962425	-0.715956588	1.137546221	1.161235961	1.202473657	1.66749448	0.762897369	-2.31545274	-1.748653775	1.523162545	-1.969758015	0.386055023	1.571858122	-0.133364462
CCL19	0.193249463	0.143660922	-0.069278109	-0.311751492	-1.913534306	1.208356076	-0.709189067	-0.750755933	-0.522138172	1.130327048	0.367538601	0.872539557	0.965882693	-0.842275961	-0.365350872	0.049953163	1.302793078	-0.723773932	-0.133086894	0.110844975	-1.292219051	0.207105085	0.991406207	-0.164079733	0.150953354	-1.519013704	-1.23606732	0.982290667	-1.215648509	0.659235904	1.123763859	0.554954118	-1.437338459	0.808001528	0.554589497	0.817846312	-1.256486131	0.134180759	0.561152686	0	0.624961471	-1.891657008	0.244661113	-1.765862546	0.5731852	-1.318107186	-0.145848651	-0.750391311	-1.368789593	0.465986441	0.153505706	-1.612721462	0.383581953	-0.131993029	0.789405825	-1.570425353	0.606001146	0.840817475	1.511721271	-0.542192361	-0.092978515	-1.350558511	-0.688770256	-1.50260573	-1.928119171	0.350766006	1.243724374	-0.851756124	-0.725961662	0.382488088	1.550735785	1.55182965	0.96734118	0.169913679	-1.933223874	-1.042817857	1.341442971	-1.76440406	-1.37717589	-0.17246603	-1.542349488
CCL21	0.590807237	-0.193315603	-0.296127647	-0.708099851	-0.372150637	1.414027616	-0.8796946	-0.776158528	-1.021604181	1.137448738	0.306264046	0.766022129	1.36479368	-0.404731919	-0.555329842	0.188247404	1.768077541	0.65162563	-0.545917472	0.874626401	-1.760113228	0.104260101	-0.031133225	-0.488719222	0.711719993	-1.19826713	-1.844100532	0.980334558	-1.663093412	0.696515395	1.548696913	1.397374961	-1.74997683	0.177386977	0.913723938	0.544469415	-1.049841292	-0.706651794	0.374322723	0.243273568	1.674677868	-1.36479368	0.543021358	-1.291666803	1.069390061	-0.553881785	-0.013032513	-0.542297329	-1.595034735	0.556777899	-0.227344942	-1.564625539	0.231689113	-0.606735864	0.479306852	-0.797879382	0.411248175	0.629180747	1.63558033	0	-0.147701809	-0.316400445	0.598047522	-0.40400789	-0.832632749	0.373598694	0.222276743	-1.479914208	-1.903470867	0.777606585	1.789074367	1.92591575	0.640765202	0.154218066	-0.797155353	-1.322800028	1.816587449	-0.806567724	-0.723304449	-0.378666894	1.296735003
CDH17	-0.241803404	-0.174025177	-0.031141348	-0.359041418	-0.619163262	-0.707091773	1.980223333	-0.457960993	0.10624695	-0.375528014	-0.15204305	0.062282695	-0.007327376	-0.705259929	0.141051986	0.837152695	1.784216028	-0.001831844	0.930576738	-0.150211206	1.146734326	0.104415106	3.432875603	0.481774965	1.364723759	0.038468723	0.271112908	1.439829362	0	-0.646640922	1.049646596	0.153874894	-0.054955319	1.729260709	-0.467120213	0.104415106	-0.639313546	-0.773038156	-0.608172199	0.126397234	0.637481702	1.271299716	1.18520305	0.408501206	0.479943121	1.983887021	0.448801773	0.172193333	5.885714681	0.415828582	0.049459787	1.124752199	0.25829	-0.076937447	0.52573922	-0.681445957	-0.686941489	-0.697932553	0.254626312	-0.589853759	-0.685109645	-0.395678298	-0.087928511	-0.265617376	-0.478111277	-0.318740851	-0.716250993	-0.487270496	0.060450851	0.183184397	0.79318844	0.419492269	-0.047627943	0.553216879	-0.485438652	-0.512916312	-0.197839149	-0.52573922	-0.078769291	-0.37369617	-0.023813972
CEACAM6	2.67783648	-0.318928579	-0.090971336	-0.149150679	-0.258633624	-0.483946352	1.827889171	-0.191462928	0.32580432	-0.266038268	-0.08832682	3.225251206	-0.362827538	-0.310995033	-0.048130184	2.609607978	2.246251537	0.523085182	0.470194871	0.30041697	-0.010578062	2.906322626	1.938429923	2.077002539	1.073673327	-0.052361409	0.090442433	0.599247231	0.187231703	-0.433700556	1.606807669	0.803403834	-0.029089671	0.306763808	0.575975494	0.0169249	0.387157081	1.659169077	-0.268682783	0.615114325	1.744322479	0.355422894	-0.145448357	0.046543474	0.250171174	0.410428819	-0.086740111	-0.029089671	0.057121537	3.661067374	-0.123763329	0.429998234	0	-0.108954042	0.25281569	-0.440047393	2.078060345	-0.450096552	-0.460674615	1.97016411	1.658640174	-0.376579019	-0.08145108	-0.465963646	-0.513564926	-0.303061486	-0.483946352	-0.305706001	0.913415683	0.521498473	0.783834419	-0.360711926	-0.167662288	-0.370761085	-0.34960496	-0.360183022	-0.01533819	-0.336382382	-0.174538029	2.158453619	-0.111598558
CLDN2	0.163861289	-0.350361309	-0.405341084	-2.328016145	0.791277541	-0.626877235	1.284478461	0.011319365	-0.516917685	0.086781801	-0.129364176	-0.891534778	0.475413346	-0.049589601	-0.001078035	-1.63699584	-2.405634651	0.827391707	0.968075248	0.619870009	-0.854342577	-0.205904646	-0.106725445	0.589146017	-0.395638771	-2.296214119	0.736836784	0.052284688	-2.444982921	-0.918485648	-0.624721165	0.245252916	0.070611279	0.135293367	0.685091114	0.072767349	0.101335271	-0.365453796	0.539017399	-0.798284768	0.556804973	0.18865609	-0.202131525	1.771211172	1.124390294	0.800440837	-1.580399013	0.562195147	-0.860810786	0.116966776	-0.66514747	1.153497233	0.998260223	-0.224770255	0.113193654	-2.10540196	0.954060796	-0.71904921	-0.514222598	-1.17074579	-0.136371402	0.813916272	0.555726938	-1.900036331	0.431213919	-0.380546284	-1.288251583	1.233810826	1.451034838	-1.575547857	-1.321131644	-0.291069395	-2.382456903	-0.816611359	0	1.433786281	0.001617052	1.367487141	0.230699447	-0.025872835	1.097978441
COL14A1	-0.149463036	0.017724783	-0.01053906	-0.459886266	-1.607685737	0.620846459	-0.777974266	-0.645756965	-0.369346157	0.566234965	0.448389109	0.648152206	1.022767893	-0.104432506	0.276889856	0.972467833	1.579900942	0.208865012	0.190661181	0.608870254	-0.907317278	0.67354176	0.800489531	-0.110181084	0.262039362	-0.762644724	-1.378221653	0.744919941	-1.767687834	1.466845568	0.427790037	0.383717603	-0.533180639	0.317608952	0.303237506	0.085270578	-0.617014073	-1.114266098	0.048862916	0.751626616	0.980611652	-0.841687676	-0.002874289	-1.403611207	0.524078724	-1.097978459	0	-0.069461988	-1.320256821	-0.385154748	-0.382759507	-2.204579786	-0.483838675	0.219404073	0.055090542	-0.5437197	0.349226133	0.766956158	0.772704736	-0.229943133	0.497731073	-1.315945387	-0.781806652	-1.977510943	-1.051989833	0.011497157	1.608164785	-1.891761316	-2.474762967	1.304448231	1.548762809	0.944683037	0.603121676	-0.129343012	-2.23811316	-2.015834798	0.836897194	-2.570572606	-0.81150764	0.693182736	-1.395467387
