NAME	GSM136579	GSM136580	GSM136581	GSM136582	GSM136583	GSM136584	GSM136585	GSM136586	GSM136587	GSM136588	GSM136589	GSM136590	GSM136591	GSM136592	GSM136593	GSM136594	GSM136595	GSM136596	GSM136597	GSM136598	GSM136599	GSM136600	GSM136601	GSM136602	GSM136603	GSM136604	GSM136605	GSM136606	GSM136607	GSM136608	GSM136609	GSM136610	GSM136611	GSM136612	GSM136613	GSM136614	GSM136615	GSM136616	GSM136617	GSM136618	GSM136619	GSM136620	GSM136621	GSM136622	GSM136623	GSM136624	GSM136625	GSM136626	GSM136627	GSM136628	GSM136629	GSM136630	GSM136631	GSM136632	GSM136633	GSM136634	GSM136635	GSM136636	GSM136637	GSM136638	GSM136639	GSM136640	GSM136641	GSM136642	GSM136643	GSM136644	GSM136645	GSM136646	GSM136647	GSM136648	GSM136649	GSM136650	GSM136651	GSM136652	GSM136653	GSM136654	GSM136655	GSM136656	GSM136657
GSTP1	-0.2283	1.2072	0.2143	-0.4204	0.221	-1.6992	1.8386	0.3253	0.3129	0.8083	1.8344	-2.0272	0.1401	0.0565	0.5223	-0.6187	0.8027	1.3021	0.7054	0.5128	0.9834	0.6828	-0.1293	0.2388	-0.8128	0.2992	-1.4701	1.783	-1.7355	-0.1614	1.532	1.3577	1.8344	0.3394	-0.9956	-2.6442	-1.0372	0.043	-1.2749	-1.3282	1.4492	0.7308	0.9592	-0.9238	-2.1341	0.5512	-1.6092	-0.1858	-1.6656	-0.0297	1.8571	-0.2464	0.9364	1.9291	-0.4295	0.4035	-1.432	-1.1461	0.2789	-1.7515	-0.5215	0.1692	1.0576	-1.4824	-0.7158	-1.1179	-0.4545	-1.436	-0.4683	1.3663	-1.4088	-0.3284	0.3129	-1.3517	-0.0419	1.2236	-0.2939	-0.18	0.0141
CKB	-0.0736	0.8234	0.7249	3.1774	2.1843	1.4826	1.637	1.2586	-0.6027	2.7765	2.4842	0.3365	0.1298	0.7823	2.9936	-1.4701	4.1645	0.9891	0.7655	1.2744	2.3127	-0.2902	-1.3362	0.3999	-1.4908	-0.2085	-2.7294	1.8738	0.1815	0.4264	-0.7647	2.8639	4.6686	0.3614	-2.7657	0.585	-1.7986	-1.1871	-2.5026	-1.1215	-0.2257	1.67	-0.566	-0.2056	-0.2622	3.2472	-1.0455	3.0727	-1.2352	3.2692	3.2302	-0.8692	1.1233	3.5416	0.3769	-1.6868	-3.196	-1.585	3.2472	-1.4056	-1.2968	-3.1679	-0.0173	-0.9868	-1.1521	-0.179	2.2222	-1.3137	-1.8098	-2.5577	-3.4236	0.0832	4.0434	-1.3104	-0.1552	2.4084	-3.2724	0.015	2.7171
RPLP2	-0.3123	0.1361	-0.165	-1.2321	-0.1715	-0.4964	-0.048	-0.0587	4.2309	1.0045	0.6849	0.0752	-0.2685	-0.2979	2.7264	-0.6569	0.0255	0.1361	-0.2312	0.8443	-0.2239	0.0668	0.2143	0.275	-0.0945	0.1276	-0.0736	-0.0367	-0.372	-0.1641	-0.0587	1.1839	0.0676	-0.4545	-0.7689	-0.366	0.0102	0.0084	-0.2555	-0.0412	0.4462	0.6807	0.5553	0.2534	1.0425	0.2854	0.0718	1.8901	0.3223	0.6934	-0.2535	-0.3465	0.3192	0.2774	-0.5059	-0.0444	-0.179	-0.2376	-0.1157	-0.3096	-0.3601	-0.4764	0.3879	-0.185	-0.485	-0.114	0.2186	-0.2168	-0.0137	1.0475	0.0807	1.4117	0.4086	-0.045	0.4118	0.8753	0.3539	0.2076	0.0357
CCND2	-0.6959	2.1028	0.024	-3.6072	1.3751	0.7773	-1.2069	0.4325	0.7528	1.6403	-2.9443	1.0252	-1.5034	-0.67	0.0118	-3.0631	-0.7542	3.2302	1.1085	2.9662	-0.6011	-0.0743	1.2044	0.7962	-0.9789	0.528	0.3006	-0.9665	-1.5377	1.5286	-1.4824	1.9757	2.3521	-3.5751	0.1562	-0.0058	-0.4709	0.7773	-4.2678	-1.7081	2.6686	-0.866	3.2881	1.3249	2.5683	-4.2678	-1.0686	2.5183	-1.2069	0.8261	2.8943	0.2559	3.2302	-0.815	2.0722	2.843	-0.8011	-2.827	0.8027	-0.936	-0.8559	-2.9934	3.3468	-0.7626	-3.4607	-3.1146	0.5659	-1.8153	-2.0055	1.6554	-0.0647	-0.8737	2.196	-0.5647	-2.0055	-0.2939	-2.3548	1.0892	1.2431
CCND2	-0.3445	2.542	0.2737	-2.2684	1.0425	1.3932	-1.6992	1.2456	0.9386	1.7252	-4.0216	1.269	-2.4792	-0.9928	0.5637	-2.6983	-0.2175	2.8528	0.9186	2.7995	-0.5919	-0.4192	1.8617	0.8965	-0.8917	0.9342	0.2328	-1.7569	-1.2657	0.8627	-1.5248	1.734	1.0706	-3.3584	-0.8201	0.0795	-0.3315	0.4639	-3.8398	-1.9721	2.7082	-0.5408	3.1161	0.7137	2.1028	-4.813	-2.068	1.5642	-1.7305	2.0398	2.6565	0.4691	2.5786	-0.6758	1.8952	2.8943	-0.0197	-4.4211	0.2186	-1.0832	-1.4154	-3.9486	3.1774	-1.137	-3.6444	-4.079	1.1111	-1.8868	-2.3327	2.3054	-0.264	-1.1277	2.19	-0.6085	-2.49	-0.6241	-2.1151	1.1504	1.4266
ALDOA	0.3279	-0.3008	1.0926	-0.352	0.775	-1.7413	1.9379	0.0969	-0.0404	1.4784	1.2044	-2.044	-0.4105	-0.0669	0.7169	-1.0748	0.6708	2.024	0.3711	1.7146	1.0892	1.0865	-0.4331	-0.464	-1.14	1.1111	-1.0657	1.4057	-0.2831	0.1794	0.2163	-0.2034	1.4638	0.1422	-0.4877	-1.4824	-1.6992	0.2388	-0.3445	-0.4204	1.2431	1.5562	0.9433	-1.3554	0.9015	1.6298	-1.0973	0.3321	-1.4629	0.1748	1.2012	-0.1972	1.535	0.5965	0.453	-0.9115	-1.1215	-0.8483	0.2067	-1.1627	0.7606	-1.2069	0.4991	-1.0772	-1.4664	-1.3175	0.5472	-0.8297	-0.5786	-0.3474	-1.1812	1.5145	0.8159	-1.2933	-1.66	1.2966	-0.3555	-0.9144	0.9015
ACTA2	0.2725	-0.6333	-0.0831	1.068	-1.5416	0.9486	1.5249	1.1656	2.4607	1.7909	0.0412	-1.6042	0.6807	0.8627	-0.5603	-0.6473	0.976	-1.5159	0.8443	0.8055	-0.2707	1.5603	0.6537	-1.1246	-0.7647	2.024	-0.054	-1.0623	1.1656	1.9609	0.1692	0.0961	1.1707	1.0502	-0.235	0.4378	-0.2603	0.9158	0.6901	-0.0495	-0.9211	-0.0444	1.3811	-0.4163	-1.4869	-0.5603	-1.1461	-3.196	-0.8534	-1.7413	0.0209	1.0706	-0.9437	1.433	1.5562	-1.7689	-0.6569	-1.6992	-0.6605	-0.5024	0.0815	0.1371	0.2099	-0.6451	-0.4597	-0.2077	-0.5009	-1.4088	0.2055	1.8901	-1.5995	1.1588	-0.4093	0.1915	0.0209	0.6624	0.0175	-1.7689	1.1132
SERPING1	-1.5698	0.4203	-2.068	1.179	-1.3075	1.6117	-1.4869	0.2006	-0.4545	-1.4088	-1.3992	1.294	0.0141	-0.0617	-0.4394	1.2908	-1.4701	-1.3847	-0.4587	-2.1685	-1.5648	-1.2495	-0.8507	1.3222	1.2666	-1.0401	1.331	0.1936	1.3995	-0.5993	-1.4869	-1.3794	-1.2749	1.605	1.3964	1.7909	1.3751	-0.2871	1.5072	1.4517	-0.8297	-2.1254	-0.7137	1.1765	-2.7657	0.1673	1.2744	-1.8815	1.0597	-1.6042	-1.839	1.0526	-3.0403	-0.8632	0.9687	-0.5539	1.3874	1.2507	-1.8098	1.5642	-1.44	1.5826	-0.8559	1.1707	1.1278	1.4609	-1.1054	1.269	1.433	-0.8559	1.3553	-2.1685	0.2827	0.8753	1.0785	-2.2172	0.9386	1.2482	-1.3679
CD9	0.221	0.7962	0.9834	-0.7308	0.6735	-0.7736	-0.6417	-0.2359	-0.0694	0.7457	0.1794	-0.0548	0.0306	-0.0524	-0.1823	-0.9053	0.6153	1.4964	-0.3145	1.2586	0.4888	0.6735	0.2328	0.1009	-1.0623	-0.0702	0.0573	-0.11	-0.8055	-0.0019	0.2363	0.1936	1.2149	-1.0748	-0.2007	-1.2816	-0.7857	0.1592	-0.2221	-1.2854	1.2119	0.6318	-0.0102	-0.1239	0.9856	-0.3262	-1.3362	0.9098	-1.7928	0.3129	1.5392	-0.2445	1.4676	0.1714	1.0576	0.9433	-0.7476	-1.0112	0.7117	-1.3517	0.9998	-1.9338	1.7984	-1.3104	-1.6292	-1.8324	0.3685	-1.2816	0.3406	2.2153	-0.8992	1.3553	0.7583	-1.0164	0.2892	0.3815	0.076	-1.4869	1.1887
LDHB	1.1206	0.8753	1.6014	0.1562	0.115	0.383	-2.6288	0.7631	0.3589	0.3605	1.4463	-1.804	1.5677	0.198	0.3845	-0.0936	0.5434	0.9736	0.6759	1.1707	0.0897	-1.2139	0.3077	-0.2518	-0.9816	0.4264	-4.1389	-0.1239	-1.7134	0.3141	-0.4204	1.8821	2.0954	-2.1877	-1.3679	-0.9389	-1.6868	0.7962	-1.1871	-2.366	-4.6911	1.9663	0.9971	0.3353	-0.8103	-1.7928	-1.1054	1.4395	-1.2657	0.0685	1.7146	0.034	-0.4163	1.5392	-0.5897	2.2153	-1.5332	-0.3038	1.535	-1.1744	-0.446	-1.8667	1.7377	-1.1937	-2.6983	0.0565	-1.8098	-1.2495	-3.4236	-0.4487	-0.9288	0.1161	0.6684	-1.0486	1.2044	0.9433	-0.7023	0.6398	0.4708
