NAME	GSM136579	GSM136580	GSM136581	GSM136582	GSM136583	GSM136584	GSM136585	GSM136586	GSM136587	GSM136588	GSM136589	GSM136590	GSM136591	GSM136592	GSM136593	GSM136594	GSM136595	GSM136596	GSM136597	GSM136598	GSM136599	GSM136600	GSM136601	GSM136602	GSM136603	GSM136604	GSM136605	GSM136606	GSM136607	GSM136608	GSM136609	GSM136610	GSM136611	GSM136612	GSM136613	GSM136614	GSM136615	GSM136616	GSM136617	GSM136618	GSM136619	GSM136620	GSM136621	GSM136622	GSM136623	GSM136624	GSM136625	GSM136626	GSM136627	GSM136628	GSM136629	GSM136630	GSM136631	GSM136632	GSM136633	GSM136634	GSM136635	GSM136636	GSM136637	GSM136638	GSM136639	GSM136640	GSM136641	GSM136642	GSM136643	GSM136644	GSM136645	GSM136646	GSM136647	GSM136648	GSM136649	GSM136650	GSM136651	GSM136652	GSM136653	GSM136654	GSM136655	GSM136656	GSM136657
SERPINF2	-1.0973	1.1257	-0.8128	0.6807	-0.9018	1.2288	-0.6085	-1.3137	-0.6401	-0.8778	-0.4226	2.0722	0.2892	-1.1903	-1.3794	1.8901	-1.3847	0.1806	-1.0832	-0.6146	-1.4056	-1.0112	-0.9053	1.6439	1.9152	-1.3992	1.9703	1.3193	2.319	-1.4554	-0.2293	-0.1361	-1.0997	1.4638	1.6332	1.9555	2.0191	-1.3037	1.6916	1.6439	-0.14	-0.9288	-0.7972	1.2637	-0.4865	0.6398	1.8691	0.8675	1.8571	-0.6719	-0.8582	-0.5231	-0.185	0.0582	-0.0236	0.2713	1.8434	1.8344	-0.8055	1.9951	-1.0802	1.6916	0.0542	1.8127	2.0041	2.173	-0.7736	2.0041	1.8778	-0.9115	1.9907	-1.0832	1.3811	1.8821	1.4057	-1.1054	0.6537	1.4754	-1.0973
MTMR11	0.0133	3.2302	-0.1668	0.3117	1.1986	-0.6798	1.6777	1.4238	-0.8483	0.7031	1.4151	-1.2657	-2.9934	-0.3485	1.9992	-0.0963	1.3373	2.5183	0.1642	0.7117	0.1915	-1.1962	-0.8534	-0.5878	-0.9189	-0.7952	0.9098	0.9433	-0.464	1.314	-0.6401	1.9246	-0.0428	0.855	0.3207	-1.585	-0.6659	-0.4667	-1.4056	-1.7748	0.8109	1.8386	-0.2464	0.7117	-1.6042	0.3861	-1.0191	-0.7241	-2.1035	2.3449	0.3236	-0.5492	1.0425	-1.7184	1.8344	0.3496	-1.0912	-3.1679	0.3958	-1.2854	-0.8435	0.6599	2.6177	-1.5995	-3.4963	-0.189	1.403	-1.7986	0.1841	0.2725	-3.6072	-0.1063	0.6644	-1.4908	1.1937	1.5826	0.8868	-2.6127	-0.445
MPDZ	-1.388	-1.2352	-1.1145	0.221	-0.9665	1.0998000000000001	-0.3357	0.0357	0.0815	0.115	-1.4992	1.1055	-1.7355	-0.3708	-0.936	1.068	-0.5024	-1.0425	0.6665	-0.8778	-0.427	-0.6492	-0.4806	0.9215	1.0926	0.198	1.3519	0.0694	0.383	0.3129	-0.9263	-0.4178	-0.7241	0.0084	0.9971	0.8492	1.1476	-0.3981	0.8346	1.3084	-0.9332	-0.8613	-0.0288	0.8578	-0.4776	-1.0912	1.1181	-0.1736	1.2012	-1.1655	-2.685	1.0475	-0.9609	-1.0577	-1.2038	-1.6146	1.0597	1.1155	-0.6241	1.0073	-1.0273	0.6153	-1.5159	1.2882	1.4297	0.6537	-0.4919	1.0198	0.4395	-1.143	1.1765	-0.5586	0.133	1.2744	0.2827	-0.9956	-0.1118	0.5011	-0.6836
AOX1	-1.9959	1.826	-1.9338	3.0876	-1.3137	2.428	-1.6253	-1.7877	-2.1787	-2.0272	-0.3768	2.9936	0.9364	-1.7305	-1.5114	2.6464	-2.0342	-0.1858	-2.1035	-1.8207	-1.7805	-1.6389	-0.8297	2.8528	2.6982	-1.6437	2.9527	1.403	2.3388	-0.7117	-1.861	-1.3245	-1.7986	2.5014	2.436	3.6179	2.7563	-1.6933	2.0548	2.0778	-0.1728	-1.5948	-1.1246	2.4842	-0.9189	1.9851	3.0582	-0.5479	2.7874	-1.7515	-0.5569	0.209	-1.3104	1.2562	1.5286	-0.7023	3.3636	2.8313	-1.7805	2.8193	-1.8538	3.1161	-0.297	2.6565	2.4689	3.3089	-1.916	3.6179	3.3636	-2.0203	2.7666	-1.9495	1.9757	2.8528	2.6565	-2.3327	2.4156	2.8528	-1.7413
AOX1	-2.3548	1.7984	-2.49	2.5269	-2.5577	2.0139	-3.6444	-2.5026	-2.8065	-3.1392	-1.1116	2.3521	1.0839	-2.49	-2.1787	2.319	-3.1146	-0.5619	-2.6722	-2.5844	-2.5175	-2.8065	-1.4779	2.4156	2.2415	-2.7294	2.3787	1.7505	2.8943	-1.14	-2.7871	-2.0507	-2.6288	2.5577	2.2153	3.1161	2.4689	-2.3207	2.0606	1.8617	-0.1207	-2.6442	-1.66	2.2153	-2.4236	2.0095	2.4607	-1.2232	2.2289	-2.6722	-1.0657	0.3418	-2.827	0.9568	1.1607	-0.2931	2.7874	2.4008	-2.8459	2.3584	-2.5577	2.686	-0.6605	2.0669	2.1204	2.4842	-2.4361	2.4933	2.8847	-2.3094	2.4221	-2.9038	2.0191	2.3257	2.2357	-3.0403	2.7171	2.5683	-2.1685
SLC26A2	-1.5114	0.407	1.7505	4.8347	1.8617	1.0759	-1.2461	0.5146	-0.6588	4.2309	1.766	0.7823	-1.7748	-0.2248	2.5786	-3.196	4.2309	-0.1641	-0.189	3.2302	2.3938	-0.5201	-0.6959	1.0526	-1.8153	-0.8327	2.5577	-0.057	-0.2321	1.2431	-1.0372	1.5392	5.459	-3.0175	-0.151	0.1352	-1.9959	-1.0657	-3.3864	0.3337	1.2722	-0.4791	0.0405	0.3769	-0.1473	3.0031	-1.1308	2.6982	-0.9609	3.1965	0.2789	0.1572	-0.1607	3.784	-1.6146	-0.3465	-1.5291	-2.4113	2.196	-1.0036	0.3157	-3.2724	0.6202	-1.1215	-1.3679	-0.9238	3.4054	-0.7241	-3.0631	-0.3008	-3.9486	1.9328	3.784	-0.7833	-0.0775	3.0582	-1.1308	-1.1145	2.2415
APOB	-4.079	1.7702	-3.8398	2.0191	-4.2678	2.024	-4.1389	-4.1389	-4.079	-4.4211	-0.8715	1.8821	0.3019	-4.5969	-4.079	1.8217	-4.9684	-1.3992	-4.2137	-4.4211	-4.5054	-4.9684	-3.8939	1.6853	1.4395	-5.5847	1.8821	1.4862	2.4527	-4.3363	-3.9486	-1.6992	-4.1389	1.9196	1.6916	1.9951	1.4426	-4.5969	2.0191	1.637	0.1045	-4.2137	-1.3955	1.6962	-5.5847	1.5896	1.3692	-1.6146	1.3751	-3.8398	-1.861	-4.079	-4.3363	0.3627	0.1794	1.5717	1.5249	1.5392	-4.1389	1.8617	-4.1389	1.8617	-0.1543	1.3553	1.605	1.707	-4.1389	1.3751	1.7786	-3.2194	1.4862	-6.2073	1.0597	1.5642	1.707	-3.6072	1.8025	1.637	-4.1389
FGF13	-1.4088	-0.5673	3.6987	0.6202	0.0573	1.0045	1.0526	-1.0973	-0.6915	1.7293	2.8528	0.6228	-2.376	-0.6532	-0.9115	-0.2386	-0.49370000000000003	-0.0313	1.5104	0.3032	0.4871	-0.2892	-1.5797	1.3249	0.0969	1.1607	0.8443	-0.2489	1.9992	1.3454	-0.4136	0.8965	0.185	0.3671	0.2926	-0.6915	-0.4017	-0.8076	0.5454	0.3032	0.5299	-0.6959	2.7765	-1.2261	-0.5634	-0.6333	-0.5433	-0.8835	-0.3955	1.4057	0.0718	0.6023	3.0727	-1.1277	1.6518	-1.2996	0.1074	-0.9665	2.0191	0.8027	1.9907	-0.526	2.132	-0.5569	-0.4612	-0.2546	-0.5292	-0.464	0.0633	0.4744	-0.2851	1.2288	0.221	0.0141	-0.8755	0.0951	-1.1871	0.6043	-0.1552
ACTC1	0.024	0.0615	-0.1285	-0.4838	0.0906	-0.0936	1.5425	0.3569	0.7249	1.3279	-0.0617	-0.815	1.0303	3.1774	0.3984	-0.4683	0.1692	-0.0736	0.3879	0.4708	2.319	1.8617	1.9951	-0.1301	-0.2331	0.5615	-0.3474	-0.3252	-0.1088	1.4463	0.5128	0.338	1.0998000000000001	0.6081	0.1533	-0.1057	0.1521	0.2904	0.1794	-0.3345	-0.2564	0.2941	0.0191	-0.1226	0.1276	-0.3175	-0.2675	-0.0473	-0.0412	-0.0963	0.1714	0.0405	-0.131	-0.14	0.6469	0.4233	0.2534	-0.1344	0.3627	-0.1126	0.5965	-0.1232	0.0224	-0.1543	-0.2792	0.1311	0.1139	-0.1191	-0.3262	1.3348	-0.1991	0.4342	-0.0876	-0.1439	-0.1027	0.0542	-0.4709	-0.3864	0.3077
USH1C	-0.1591	1.2666	1.3663	-1.7928	1.0947	0.6318	2.1368	0.234	0.3641	1.3717	-0.379	0.1552	-2.3207	-0.946	-0.8272	-1.2202	1.6439	1.6853	0.5338	0.9856	0.3006	0.1572	0.5223	0.6537	-0.9238	-1.0772	-0.0813	1.2562	-2.49	-0.1939	0.645	0.0084	1.9246	0.2133	-0.1431	-0.0884	-0.7308	-0.0335	-0.3435	-3.196	1.6403	0.7249	0.7434	-0.427	0.5223	-0.3837	-1.6292	-0.0137	-0.9987	0.2642	1.0865	-1.3722	1.1111	2.4842	0.5615	1.1632	-1.9636	-2.0134	1.1181	-2.279	-0.1293	-2.0055	1.6518	-1.4121	-0.6915	-1.8868	-0.0702	-1.2321	-0.0531	0.9856	-1.9959	1.7909	-0.1278	-2.6442	-0.5748	1.0732	-1.0372	-1.804	-0.5043
UST	-0.1318	-0.4531	-0.0945	-0.3566	0.7308	0.4019	0.5703	1.2093	0.4282	-0.1693	3.784	-0.108	-0.4382	0.3984	0.8848	-0.2143	-0.3601	-0.0955	0.7267	-0.051	-0.1552	-0.0088	0.6779	-0.4093	-0.0088	2.0452	-0.1752	-0.3967	0.0247	0.8027	0.0247	0.3279	-0.1866	-0.6401	-0.8507	0.024	0.1748	0.1915	-0.0997	-0.184	-0.2726	1.314	0.0232	-0.3367	2.196	0.0036	-0.0487	1.1085	-0.0221	-0.2257	-0.2697	1.2773	0.1492	-0.1422	-0.1261	-0.0404	-0.131	-0.0838	0.0395	0.0633	0.2817	-0.1518	-0.1624	0.30620000000000003	0.133	-0.0116	0.927	-0.0563	-0.5309	-0.114	0.038	0.1592	-0.0129	0.1382	1.3995	-0.2572	-0.1728	-0.1932	1.9379
ANG	-0.3305	0.6065	-0.2464	1.2856	-0.1898	2.0345	-0.1207	-0.4919	-1.8468	-1.3282	0.0422	1.7104	1.0576	-0.3435	-0.8034	1.8952	-0.9529	-0.5993	-0.67	-0.8967	-0.372	-1.8098	-1.1712	1.7177	1.7874	-1.0455	1.8434	2.8741	0.5223	-1.4441	-1.0341	-0.7668	-0.3578	1.3432	1.4057	1.7578	1.5527	-0.2321	1.579	1.5072	-0.2386	-0.5154	-1.6292	2.285	1.2722	-1.2657	1.7104	-0.2077	2.1368	-0.1173	-3.1392	-0.8862	1.1155	-0.3229	0.829	-1.0401	1.8127	2.2091	-1.2202	1.7622	-1.143	1.7457	0.8991	1.7457	2.0954	2.2022	-1.4514	1.8778	1.9663	-1.3916	1.6592	-1.3282	0.5317	1.9851	1.2431	-1.7413	0.9515	1.8738	-1.44
TRIL	0.0549	-1.8153	0.9072	-0.2359	-0.3086	0.7557	-0.0981	2.8528	1.3995	0.2737	5.459	-0.8967	-0.0555	0.4086	0.1093	-0.7004	0.2805	-0.2455	0.4186	1.4964	0.2174	0.2737	0.2468	0.209	-0.2804	4.411	-0.2736	-0.7023	0.0625	1.6554	0.1541	0.4836	-0.1464	-0.7401	-0.8327	-1.0401	-0.4331	0.855	-0.0221	-0.485	0.117	-0.0487	-0.2212	3.5416	1.6592	-0.0122	-0.0876	1.9291	-0.0214	-0.1762	0.1382	1.8302	2.0498	0.4765	-1.9018	-0.1027	-0.1166	-0.3708	1.433	-0.3398	0.4815	-0.1049	-0.2034	-0.3967	-0.5823	-0.9413	0.5681	-0.2603	-0.9508	-0.2526	0.0265	0.0059	5.6898	-0.0214	-0.1607	0.1905	-0.2765	-0.3175	-0.1809
TRIL	-0.3038	-0.5897	0.1521	-0.0306	-0.1271	0.645	1.2345	2.436	0.4462	0.1009	4.5705	-1.0486	-0.151	0.0769	0.198	-0.0955	-0.3735	-0.1278	0.4086	0.6537	0.0769	0.0625	0.5803	0.3236	-0.341	3.784	0.0297	-0.5103	-0.1675	1.0576	1.4207	-0.1923	0.9015	-0.2134	-0.1771	-0.7668	-0.2331	0.9342	0.3569	-0.1254	0.0439	-0.0313	-0.2881	3.8549	1.3841	-0.3038	0.1673	1.7177	-0.3757	-0.2665	-0.1591	1.2456	0.976	0.9158	-2.0575	0.8007	-0.0396	-0.1126	0.9971	-0.235	0.0029	-0.7439	-0.7833	-0.2792	-0.1576	-0.2479	0.2678	-0.3219	-1.2321	-0.2186	-0.5275	-0.2726	4.3428	-0.0129	-0.0902	-0.3812	-0.6064	-0.1624	-0.1027
SLC6A1	-0.2821	-1.321	-0.2697	1.4266	-0.1439	2.6075	1.6741	-0.4318	0.0464	0.0565	0.0872	2.9527	-0.6473	-0.4865	-1.0315	3.4442	-0.5716	-0.4587	0.1412	-0.2765	-0.6532	-0.4499	-0.0855	3.1033	3.4054	-0.251	2.9662	0.6828	0.0897	0.3861	-0.8201	-0.264	-0.2765	2.0606	2.6982	2.1079	2.7765	-1.0605	2.5879	2.5506	-0.2765	-0.3578	0.0133	2.2615	-0.1948	0.505	2.8943	-0.0893	3.7256	-0.3802	-0.0807	-0.0884	-0.2757	-1.5248	0.8055	-0.0137	2.6982	3.2692	-0.1898	2.4221	-0.4573	1.9992	-0.6473	4.5705	2.8528	1.8434	-0.2603	2.3938	1.8901	-0.0902	3.3291	0.0807	2.0548	2.7082	1.637	0.1401	0.3394	1.532	-0.0861
KRT17	1.826	0.8819	2.5683	-0.7044	2.5977	-0.8755	0.6202	2.6769	1.9951	3.6987	-0.7689	-1.3722	0.0084	1.269	-0.352	1.1206	3.4904	0.6469	1.8778	2.1486	0.0795	0.0712	-0.2592	-0.1583	-0.264	2.2357	-1.0341	4.8347	1.1986	2.9305	-0.4435	1.4896	0.2678	0.6023	-0.3028	-0.4368	-0.2007	-0.5215	-0.1702	-1.5073	0.979	-0.1914	3.1473	-1.2968	1.4087	-0.9437	-0.445	0.1352	-0.4241	-0.1318	4.411	0.2422	-0.2134	1.5562	0.1663	-0.3284	-0.5539	-0.1858	3.3468	-0.5086	2.8193	-0.9332	-0.0167	-0.4791	-0.08	0.4871	1.2377	-0.408	1.314	0.6849	-0.4656	0.0863	-1.3955	-0.8715	-1.9018	-0.1173	2.979	-0.305	1.4862
CSF2RB	2.3877	-0.6513	-0.2471	0.6398	2.4527	-0.0367	-0.8222	1.0551	1.4266	0.2076	-1.4196	-0.6295	1.1986	2.173	2.1423	-0.0367	0.0668	-0.7044	1.7001	-0.67	-0.1939	0.526	1.9992	-2.1685	0.2805	0.9461	-0.7626	-1.5743	0.9486	1.7457	-0.2861	-0.7952	-1.0623	0.1266	0.1521	0.1956	-0.4892	2.173	-0.6643	1.1632	0.1724	-1.0016	0.9072	-2.4538	-0.4435	-0.8076	-0.5059	-0.1191	-0.1392	-0.2007	-0.4308	1.766	-0.3445	-0.8917	0.0533	3.4672	0.2328	-0.3981	-0.6778	0.4908	2.2153	0.2508	-2.2079	0.0412	-1.7355	-0.815	0.3801	0.1701	0.0807	-0.4435	-0.1285	-0.0049	-1.1871	0.1205	-1.2889	-1.2626	0.6759	-1.1587	1.6554
MYLPF	-0.1191	0.0422	0.4186	-1.6756	0.417	0.3465	0.0201	-0.0647	0.2653	-0.4136	0.0349	-0.0617	-0.0137	1.3193	0.3641	-0.4331	0.7655	0.5472	0.0872	-0.0743	3.8878	3.6179	1.8901	0.2055	0.0769	-0.3106	-0.0373	0.0752	-1.3075	-0.5539	1.2264	0.2468	0.4908	-0.3096	-0.0656	-1.1277	0.028	-0.3532	0.024	-0.3057	-0.0159	-0.091	-0.4435	0.1178	0.4132	-0.1415	0.1572	1.5425	0.2076	0.1815	0.2255	-0.1823	0.3743	0.1936	-0.305	1.0551	0.4035	0.3157	-0.0306	-0.3918	-0.0102	1.5717	0.1093	0.0598	0.1994	-0.1752	-0.4776	0.2455	0.3337	-0.1301	-0.0428	0.0043	-0.7952	-0.2939	0.495	0.3942	-0.4318	0.0075	0.0542
DDR2	0.8725	-0.3929	-0.1972	0.2055	-0.3175	0.4587	0.979	1.4463	1.8434	1.7946	-0.2143	-0.0205	-0.4394	1.1937	1.1351	0.0232	0.495	-0.4163	1.0839	-0.0342	0.5011	0.7075	1.1656	-0.838	-0.0288	1.2586	-0.0404	-0.7606	0.3267	1.3636	1.6475	0.0306	0.0349	-0.3941	0.2318	0.4673	-0.4667	1.0198	0.417	-0.0102	-0.7833	0.2964	0.6318	-0.2204	-0.1932	-0.8507	-0.2248	1.2236	-0.1335	-0.3768	0.0331	1.8386	-0.184	0.1066	-0.2403	-0.49370000000000003	-0.3435	-0.1134	-0.264	0.0881	0.8939	-1.1587	0.1083	-0.0702	0.1781	-0.6492	1.5214	0.0051	-0.6401	-0.1191	-0.1464	-0.0502	-1.0112	0.2642	-0.2257	-0.1293	-0.045	-0.2056	1.5717
QPCT	-1.1461	0.3815	0.8675	0.4295	-0.3262	-2.2172	-2.864	0.5944	-0.8405	0.979	1.5976	0.2269	-0.7879	0.234	1.2722	0.5186	2.3584	1.1181	0.4548	1.1504	2.2415	-1.1308	-0.2861	0.7501	-2.8819	1.0099	-0.1518	0.2482	0.9611	0.6624	-0.9632	-0.6107	2.2091	-3.2724	-3.0175	-0.0555	-0.9928	-1.4942	1.0732	-1.4554	0.9568	-1.4701	1.4426	-1.3321	-0.586	1.1451	-1.8667	-0.0709	-1.6868	0.585	0.7606	-0.3145	1.5717	-0.0473	-2.0272	0.2854	-1.6933	-2.9246	0.6343	-0.9898	1.1398	-2.9038	-0.6401	-1.5196	-1.1054	-1.8153	1.6214	-1.5607	-0.6737	0.8007	-4.3363	-0.617	2.9662	-1.7515	-4.079	1.7909	-2.6127	0.6828	1.1301
KHK	-0.4331	0.0247	0.1298	-0.156	0.2468	0.1513	-0.2831	-0.6352	-0.7287	-0.4318	-0.0945	0.9592	-1.6756	-0.8835	-0.6859	0.5746	-0.577	0.2964	-0.7241	0.3418	-1.0973	-0.4241	-0.2774	0.5533	0.855	-1.0341	0.6807	-0.0342	-0.0342	-1.3104	0.3236	0.431	-0.3345	0.5922	0.5803	-0.0487	0.8234	-0.7158	0.4991	0.1433	-0.2881	0.4619	-0.4725	0.4931	0.0915	0.2926	0.9661	-0.0129	1.3874	0.0499	0.115	-0.3837	0.1028	-0.6513	-0.3197	1.2966	0.8418	1.0998000000000001	0.0745	0.4967	-0.6778	0.3685	-0.5959	1.314	1.0926	0.6153	-0.7401	1.0947	0.7705	-0.4394	0.8627	0.3279	-0.0918	0.7434	-0.1126	0.2904	0.028	0.5203	-0.0694
TNNI1	-0.2212	-0.6125	0.2076	-1.2657	0.257	0.2817	0.7501	-0.189	0.3236	-0.2007	-0.0214	-0.0487	-0.5292	2.4842	-0.0436	-0.6513	1.1816	0.6398	0.1473	0.3641	3.9176	3.6987	1.5104	0.1066	0.0232	-0.3096	-0.1035	0.8418	-1.0036	-0.5823	1.0811	0.7267	0.4673	-0.2939	0.0412	-0.4241	-0.1552	-0.1293	-0.1668	-0.1285	0.5357	0.1361	-0.1035	-0.0188	0.2534	-0.1752	0.0703	0.4765	0.2099	0.0727	0.1298	-0.0617	1.1022	-0.1685	-0.091	0.024	0.3019	0.0598	0.4035	-0.171	-0.1991	1.8127	0.4514	-0.0359	0.3671	-0.0831	-0.0792	0.252	0.2143	-0.1631	-0.0963	-0.0761	-0.6401	-0.3735	0.2153	-0.0152	-0.7496	-0.0784	-0.0869
SPINK5	1.7702	-1.9495	-0.1042	-0.6146	2.0191	0.1129	0.3394	-0.1866	-0.0838	1.8998	0.417	-1.7355	6.0398	0.2605	0.932	0.1392	-0.091	0.186	0.4991	1.7505	0.2713	-0.0847	5e-4	0.5128	-0.3123	0.8109	0.3019	1.1656	1.5456	-0.5059	-0.2034	0.5338	2.5269	-0.2881	-0.3757	0.2827	-0.051	-0.114	-0.6319	-1.2816	1.3519	1.5392	-0.0404	0.7631	0.4783	-0.2675	0.0247	0.526	-0.3812	-0.1005	0.7528	-0.4368	3.0341	0.1382	-0.6605	0.9891	0.0412	-0.3187	3.9176	-0.7879	0.8443	0.0786	2.1599	-0.5408	-0.5919	-0.936	0.3785	-0.3241	-0.8967	-0.4545	-0.0625	-0.5716	3.3468	-0.6532	0.3192	1.3577	-1.7081	-0.4122	0.0573
PLS1	0.6228	-0.1407	1.4862	-0.9816	0.2198	-0.8076	1.0073	0.059	-1.0577	-0.7972	1.8952	-0.7044	-0.1668	-1.0036	-0.0531	-0.0656	0.221	1.4426	-0.7476	1.0654	0.7391	0.038	-0.1999	0.2433	-0.7457	0.3926	-0.1094	-0.5603	-0.4545	0.0815	-0.0159	1.3841	0.1541	-0.1982	0.2055	-0.9053	-0.8222	0.4395	0.7557	-1.8868	0.8083	1.4463	-1.6543	0.417	0.6537	-0.1134	-0.7241	1.4826	-0.6223	1.3553	0.4118	-3.4963	1.6439	-0.5116	1.3874	0.645	-0.8177	-0.7952	1.3663	-1.0315	1.2744	-0.0792	1.5976	-0.7563	-1.6342	-0.3388	0.4055	-0.8103	-0.8435	1.5642	-0.8034	0.927	0.7911	-1.3362	0.7054	2.1146	-0.7952	-1.9793	-0.67
CA9	1.8434	-1.861	-0.722	1.4151	0.7137	-0.2656	4.411	0.5512	1.8778	-0.5183	-0.7736	-0.3377	-1.4024	-0.6778	-0.5024	0.2774	1.6554	4.0031	1.5249	3.5694	-1.0772	-0.2312	-0.445	0.0405	-0.5786	4.8347	-1.321	1.5004	0.0201	2.5345	2.024	-0.372	-0.156	-3.1679	-0.1254	-0.3474	-0.5126	0.9636	-1.7805	-1.1937	-0.3981	1.5677	1.8217	-0.6417	3.3834	-0.5342	-0.3057	0.2941	-0.7044	0.5765	2.9197	-0.4474	5.459	-0.7563	3.0876	-0.0458	-0.722	-0.566	0.8675	-0.9144	1.2456	0.2455	2.1661	-0.7158	0.585	-0.3685	1.0127	-0.427	0.979	0.5637	0.5595	3.0582	2.7463	-0.9288	-2.0936	-0.8582	1.1656	-0.5309	-0.1668
CLEC3B	-0.9484	-1.6342	-0.5408	-0.6333	-0.5805	0.9891	-1.388	-0.4697	0.6295	0.4342	-1.0547	0.4566	-0.2116	0.0306	2.4156	0.3879	-0.5878	-0.6011	1.0998000000000001	-0.7327	1.535	0.2143	0.3267	0.257	1.3021	-0.1874	1.0576	-0.3017	0.4233	2.2357	-0.3076	-0.4331	-1.0657	0.7457	0.1412	0.9186	0.9015	0.6492	0.5357	1.0099	-0.6678	-1.0973	-0.264	-0.1191	-0.5391	-1.0486	0.976	-0.5634	0.847	-0.6451	-1.459	1.0926	-0.5167	-1.0164	-2.5026	-1.3037	0.6828	1.1937	-0.617	0.7117	-0.464	-0.0775	-0.8103	1.0279	0.8848	0.6427	1.3636	0.8055	0.2006	-1.3175	0.3614	-0.8435	0.0549	1.7578	-1.0455	-1.6292	-1.4024	-0.2647	-0.5154
KAL1	0.8675	-0.1182	0.4765	0.6624	1.3222	0.2015	0.878	2.1486	2.024	1.1736	-0.5506	-1.2889	0.1794	2.2725	2.1146	-1.3245	1.1155	-0.5938	1.8344	0.0703	1.8025	0.407	1.9512	-1.0401	-0.8715	1.734	0.2678	-1.8324	0.8868	1.766	0.5244	0.9186	-0.3106	-1.5648	-1.4056	0.185	-0.8613	1.1111	-0.1614	-0.0989	-1.4514	-0.6417	1.0526	-0.815	-0.8358	-0.8103	-1.1087	-1.1587	-0.8807	-0.7423	-0.4331	1.8176	-0.3735	0.0642	-0.0918	-2.1341	-0.7689	-2.0936	-0.6401	0.0573	0.6735	-0.3252	-0.1042	-0.7736	-0.2394	-2.0055	2.9662	-0.8692	-0.291	1.2177	-1.44	0.3641	-0.1285	0.6537	-0.0595	0.9945	0.0405	1.1607	1.8217
IL6	1.5976	0.8656	-0.111	-0.3898	0.0851	-0.445	0.0183	0.6228	0.8083	0.8321	-0.1049	-0.4865	1.9757	-0.3017	0.431	-0.4192	0.2281	0.115	0.5703	0.5703	-0.3435	0.4395	0.7911	-0.5408	-0.5126	0.6849	-1.62	-0.1439	-0.2066	0.2235	-0.1744	1.3222	1.2998	0.4725	-0.6319	-0.2555	-0.3474	0.0471	-0.4284	0.0573	-0.1991	0.1382	0.4325	-1.7355	-0.0137	1.3874	-0.4295	0.4411	-0.3532	0.7054	0.4815	0.7199	-0.0041	1.2507	-0.7496	-0.2134	-0.5878	-0.2437	0.417	1.2264	0.0989	0.0331	-0.9846	-0.5183	-0.9724	0.3539	-0.0531	-0.171	-0.0784	-0.1736	-0.4919	0.6129	-0.2603	0.0807	-0.8582	-0.5154	0.6202	0.0216	4.0815
ALDH1L1	-1.3104	-2.4113	-0.3624	-1.0164	0.9461	0.4744	-0.6643	0.3743	-1.8868	-0.7833	0.4498	1.5286	-0.0473	-1.1308	-0.566	1.3432	-0.6548	-0.7606	-1.4554	-0.5421	-0.9413	-1.2626	-1.1024	1.7001	2.2022	-1.7569	1.6518	1.1278	0.0557	-0.8534	-0.9584	-0.7137	-0.0893	0.6469	1.4367	0.8109	0.9364	0.2978	1.2345	0.3449	1.0576	-0.3967	-1.9959	1.269	1.5976	-0.0918	1.5717	0.2605	1.7177	1.1233	-0.8778	-0.5086	-0.6146	0.2534	-1.8324	-1.4869	2.436	1.5493	-0.5897	0.8965	-1.1521	1.6812	-0.5735	1.7541	1.8434	0.5299	-1.2461	1.5145	1.5214	-1.2038	1.3995	-1.1334	0.4619	0.821	-0.4487	-1.2524	0.9405	0.8799	-1.1812
APOH	-5.1817	1.8952	-4.1389	2.132	-4.3363	2.1028	-3.3321	-3.8939	-4.813	-4.0216	-0.2811	1.6883	0.0439	-3.8398	-4.3363	1.7146	-5.5847	-0.8891	-4.5969	-4.2678	-4.0216	-5.1817	-4.6911	1.8478	1.3454	-4.3363	1.8073	2.2475	1.4517	-3.8398	-4.4211	-1.9793	-5.5847	2.196	2.0139	2.1843	1.3432	-4.813	2.4221	1.7419	-0.1063	-4.813	-2.4006	1.9992	-4.0216	1.3636	1.1278	-0.6241	1.0551	-4.6911	-1.2933	-4.6911	-4.2137	0.5163	1.1839	0.0405	1.1986	1.3607	-4.0216	1.3995	-4.2137	1.8025	0.212	1.097	1.5896	1.6777	-4.813	1.1278	1.8952	-3.0403	1.269	-4.2678	2.4221	1.2212	2.2538	-4.4211	2.0452	1.6475	-4.2137
GPR109B	5.1161	0.6555	0.6398	-0.0388	3.3834	-0.7929	-0.4241	0.1968	-0.2212	-0.8459	-0.7023	-1.3104	-1.66	1.8655	1.7032	-1.5465	2.1146	3.4672	0.0815	2.2984	-0.8405	0.2067	0.2978	-0.7929	0.5533	-0.4612	-0.5326	-0.9189	-0.8034	-0.4964	-0.3096	-0.9053	1.3373	-0.2321	-0.403	-1.6389	0.2642	2.8193	-1.5332	1.7252	0.3912	-0.1991	1.253	-1.5034	-0.4697	-0.3802	-0.2195	1.4463	0.6807	2.2922	-1.1179	0.8753	0.2952	-0.7905	-0.3967	3.6728	-0.6659	0.2422	2.3054	0.7886	3.4904	0.1714	-1.2587	0.729	-0.4725	0.3728	-1.2001	-0.0342	-0.3812	-0.9081	0.3801	2.6769	-0.7067	0.0906	-1.8868	-0.4597	0.8656	0.038	3.6467
